time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638568157.819763,59.17514238179001,59.172396707958825,0,kth,0,231.5167456738312,19868.0,10.0,43056.0,0.0,18227.0,0.1,2.3622099083776815,3.7,3.7,0,tth,0,-3.7
1638568158.9728398,59.22614238179003,59.22239670795881,0,kth,0,231.4667456738312,20829.0,9.0,42649.0,0.0,18216.0,0.1,2.3412933684672814,3.8000000000000003,3.8,0,tth,0,-3.8
1638568160.1625054,59.273142381790024,59.27239670795882,0,kth,0,231.4167456738312,21687.0,10.0,41931.0,0.0,18212.0,0.1,2.3023830441467164,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004
1638568161.287724,59.32014238179002,59.32239670795883,0,kth,0,231.3667456738312,22296.0,10.0,40755.0,0.0,18203.0,0.1,2.2389166620886667,4.0,4.0,0,tth,0,-4.0
1638568162.8035123,59.36914238179003,59.37239670795881,0,kth,0,231.3167456738312,22969.0,9.0,36781.0,0.0,18208.0,0.1,2.0200461335676625,4.1,4.1,0,tth,0,-4.1
1638568164.833918,59.42714238179002,59.422396707958825,0,kth,0,231.2667456738312,24000.0,10.0,38377.0,0.0,18206.0,0.1,2.107931451169944,4.2,4.2,0,tth,0,-4.2
1638568166.5572624,59.46914238179002,59.47239670795881,0,kth,0,231.2167456738312,24465.0,9.0,34019.0,0.0,18188.0,0.1,1.8704090609192874,4.3,4.300000000000001,0,tth,0,-4.300000000000001
1638568167.8767035,59.51814238179003,59.52239670795882,0,kth,0,231.1667456738312,25185.0,10.0,31606.0,0.0,18217.0,0.1,1.7349728275786354,4.4,4.4,0,tth,0,-4.4
1638568169.0438857,59.56814238179001,59.57239670795883,0,kth,0,231.1167456738312,25772.0,9.0,29610.0,0.0,18214.0,0.1,1.6256725595695618,4.5,4.5,0,tth,0,-4.5
1638568170.2352579,59.62314238179002,59.62239670795881,0,kth,0,231.0667456738312,26477.0,10.0,29480.0,0.0,18200.0,0.1,1.6197802197802198,4.6000000000000005,4.6,0,tth,0,-4.6
1638568171.4022453,59.66914238179001,59.672396707958825,0,kth,0,231.0167456738312,26954.0,10.0,25587.0,0.0,18178.0,0.1,1.407580591924304,4.7,4.7,0,tth,0,-4.7
1638568172.6018186,59.72514238179002,59.72239670795881,0,kth,0,230.9667456738312,27471.0,10.0,24508.0,0.0,18193.0,0.1,1.347111526411257,4.8,4.800000000000001,0,tth,0,-4.800000000000001
1638568174.4049056,59.777142381790014,59.77239670795882,0,kth,0,230.9167456738312,28004.0,9.0,21343.0,0.0,18208.0,0.1,1.172177065026362,4.9,4.9,0,tth,0,-4.9
1638568176.0529356,59.81814238179001,59.82239670795883,0,kth,0,230.8667456738312,28210.0,10.0,17514.0,0.0,18210.0,0.1,0.9617792421746293,5.0,5.0,0,tth,0,-5.0
1638568178.0113783,59.87514238179003,59.87239670795881,0,kth,0,230.8167456738312,28327.0,10.0,15380.0,0.0,18203.0,0.1,0.8449156732406746,5.1000000000000005,5.1,0,tth,0,-5.1
1638568179.9576387,59.918142381790005,59.922396707958825,0,kth,0,230.7667456738312,28346.0,10.0,12101.0,0.0,18192.0,0.1,0.6651824978012313,5.2,5.2,0,tth,0,-5.2
1638568181.7351334,59.97714238179,59.97239670795881,0,kth,0,230.7167456738312,28009.0,10.0,11073.0,0.0,18190.0,0.1,0.608741066520066,5.3,5.300000000000001,0,tth,0,-5.300000000000001
1638568182.9658568,60.01814238179003,60.02239670795882,0,kth,0,230.6667456738312,27582.0,9.0,8983.0,0.0,18184.0,0.1,0.49400571931368237,5.4,5.4,0,tth,0,-5.4
1638568184.1152074,60.07414238179001,60.07239670795883,0,kth,0,230.6167456738312,26710.0,10.0,9269.0,0.0,18177.0,0.1,0.5099301314848435,5.5,5.5,0,tth,0,-5.5
1638568185.3041422,60.12514238179003,60.12239670795881,0,kth,0,230.5667456738312,26354.0,9.0,7527.0,0.0,18169.0,0.1,0.4142770653310584,5.6000000000000005,5.6,0,tth,0,-5.6
1638568186.528452,60.17714238179002,60.172396707958825,0,kth,0,230.5167456738312,25766.0,9.0,7204.0,0.0,18183.0,0.1,0.39619424737392067,5.7,5.7,0,tth,0,-5.7
1638568187.7668905,60.22614238179003,60.22239670795881,0,kth,0,230.4667456738312,25202.0,9.0,6809.0,0.0,18180.0,0.1,0.3745324532453245,5.8,5.800000000000001,0,tth,0,-5.800000000000001
1638568188.9217246,60.277142381790014,60.27239670795882,0,kth,0,230.4167456738312,24568.0,9.0,6702.0,0.0,18177.0,0.1,0.36870770754249876,5.9,5.9,0,tth,0,-5.9
1638568190.0306096,60.321142381790025,60.32239670795883,0,kth,0,230.3667456738312,24101.0,9.0,6163.0,0.0,18182.0,0.1,0.33896161038389616,6.0,6.0,0,tth,0,-6.0
1638568191.187168,60.376142381790004,60.37239670795881,0,kth,0,230.3167456738312,23832.0,9.0,6673.0,0.0,18196.0,0.1,0.366728951417894,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005
1638568192.9118078,60.418142381790005,60.422396707958825,0,kth,0,230.2667456738312,23768.0,9.0,6173.0,0.0,18175.0,0.1,0.3396423658872077,6.2,6.2,0,tth,0,-6.2
1638568194.252219,60.46914238179002,60.47239670795881,0,kth,0,230.2167456738312,23652.0,9.0,6410.0,0.0,18175.0,0.1,0.3526822558459422,6.3,6.3,0,tth,0,-6.3
1638568196.555761,60.527142381790014,60.52239670795882,0,kth,0,230.1667456738312,23856.0,9.0,6746.0,0.0,18165.0,0.1,0.3713735205064685,6.4,6.4,0,tth,0,-6.4
1638568198.3717337,60.56814238179001,60.57239670795883,0,kth,0,230.1167456738312,23918.0,10.0,6498.0,0.0,18182.0,0.1,0.3573864261357386,6.5,6.5,0,tth,0,-6.5
1638568200.655222,60.62714238179001,60.62239670795881,0,kth,0,230.0667456738312,23999.0,9.0,6472.0,0.0,18184.0,0.1,0.355917289925209,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005
1638568202.3665106,60.66914238179001,60.672396707958825,0,kth,0,230.0167456738312,24081.0,9.0,6034.0,0.0,18152.0,0.1,0.33241516086381667,6.7,6.7,0,tth,0,-6.7
1638568204.4017797,60.72714238179,60.72239670795881,0,kth,0,229.9667456738312,24168.0,10.0,5823.0,0.0,18181.0,0.1,0.3202794125735658,6.8,6.800000000000001,0,tth,0,-6.800000000000001
1638568205.8368685,60.76814238179003,60.77239670795882,0,kth,0,229.9167456738312,24213.0,9.0,5301.0,0.0,18216.0,0.1,0.2910079051383399,6.9,6.9,0,tth,0,-6.9
1638568206.9492278,60.82214238179,60.82239670795883,0,kth,0,229.8667456738312,23847.0,9.0,4878.0,0.0,18216.0,0.1,0.26778656126482214,7.0,7.0,0,tth,0,-7.0
