time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638655068.6424754,4.546271813855103,58.870142381790004,58.87239670795881,0,kth,0,231.8167456738312,5054.0,10.0,68776.0,0.0,15128.0,0.1,3.1,3.1,0,tth,0,-3.1,4351.328,4349.694444444444,0,x,0,4349.694444444444
1638655071.0945966,4.745381367115334,58.922142381790025,58.922396707958825,0,kth,0,231.7667456738312,5082.0,10.0,71921.0,0.0,15156.0,0.1,3.2,3.2,0,tth,0,-3.2,4347.504,4344.666666666667,0,x,0,4344.666666666667
1638655072.686804,4.657495381367116,58.97214238179001,58.97239670795881,0,kth,0,231.7167456738312,5131.0,10.0,70589.0,0.0,15156.0,0.1,3.3000000000000003,3.3,0,tth,0,-3.3,4341.0380000000005,4339.638888888889,0,x,0,4339.638888888889
1638655074.284283,4.6494879418566235,59.02214238179002,59.02239670795882,0,kth,0,231.6667456738312,5317.0,10.0,70370.0,0.0,15135.0,0.1,3.4,3.4000000000000004,0,tth,0,-3.4000000000000004,4336.35,4334.611111111111,0,x,0,4334.611111111111
1638655077.1166306,4.664640591966173,59.07214238179,59.07239670795883,0,kth,0,231.6167456738312,5420.0,10.0,70604.0,0.0,15136.0,0.1,3.5,3.5,0,tth,0,-3.5,4331.289,4329.583333333333,0,x,0,4329.583333333333
1638655079.7269518,4.68005540166205,59.12214238179001,59.12239670795881,0,kth,0,231.5667456738312,5419.0,10.0,70959.0,0.0,15162.0,0.1,3.6,3.6,0,tth,0,-3.6,4326.897,4324.555555555556,0,x,0,4324.555555555556
1638655080.9168272,3.9438246748960326,59.168142381790005,59.172396707958825,0,kth,0,231.5167456738312,5519.0,10.0,59745.0,0.0,15149.0,0.1,3.7,3.7,0,tth,0,-3.7,4319.488,4319.527777777777,0,x,0,4319.527777777777
1638655082.4458883,4.606772724272229,59.22314238179001,59.22239670795881,0,kth,0,231.4667456738312,5713.0,10.0,69788.0,0.0,15149.0,0.1,3.8000000000000003,3.8,0,tth,0,-3.8,4316.975,4314.5,0,x,0,4314.5
1638655084.0145984,4.403598121568887,59.27214238179002,59.27239670795882,0,kth,0,231.4167456738312,5715.0,10.0,66578.0,0.0,15119.0,0.1,3.9,3.9000000000000004,0,tth,0,-3.9000000000000004,4312.251,4309.472222222223,0,x,0,4309.472222222223
1638655085.8174164,3.947479685538746,59.32214238179,59.32239670795883,0,kth,0,231.3667456738312,5754.0,10.0,59753.0,0.0,15137.0,0.1,4.0,4.0,0,tth,0,-4.0,4307.302,4304.444444444444,0,x,0,4304.444444444444
1638655087.3196888,4.315142706131078,59.37514238179003,59.37239670795881,0,kth,0,231.3167456738312,5872.0,10.0,65314.0,0.0,15136.0,0.1,4.1,4.1,0,tth,0,-4.1,4299.5560000000005,4299.416666666667,0,x,0,4299.416666666667
1638655088.8341124,3.9533993399339935,59.424142381790006,59.422396707958825,0,kth,0,231.2667456738312,5991.0,10.0,59894.0,0.0,15150.0,0.1,4.2,4.2,0,tth,0,-4.2,4296.358,4294.388888888889,0,x,0,4294.388888888889
1638655090.4613132,4.469028888741985,59.47814238179001,59.47239670795881,0,kth,0,231.2167456738312,6026.0,10.0,67603.0,0.0,15127.0,0.1,4.3,4.300000000000001,0,tth,0,-4.300000000000001,4290.9980000000005,4289.361111111111,0,x,0,4289.361111111111
1638655092.0121067,4.065469904963042,59.52614238179001,59.52239670795882,0,kth,0,231.1667456738312,6250.0,10.0,61600.0,0.0,15152.0,0.1,4.4,4.4,0,tth,0,-4.4,4287.092,4284.333333333333,0,x,0,4284.333333333333
1638655093.6021283,2.9072764523164363,59.569142381790016,59.57239670795883,0,kth,0,231.1167456738312,6105.0,10.0,43990.0,0.0,15131.0,0.1,4.5,4.5,0,tth,0,-4.5,4282.246,4279.305555555556,0,x,0,4279.305555555556
1638655095.1692278,3.2955085865257594,59.62514238179003,59.62239670795881,0,kth,0,231.0667456738312,6103.0,9.0,49894.0,0.0,15140.0,0.1,4.6000000000000005,4.6,0,tth,0,-4.6,4276.976,4274.277777777777,0,x,0,4274.277777777777
1638655096.8090048,2.9830127569568377,59.672142381790025,59.672396707958825,0,kth,0,231.0167456738312,6083.0,10.0,45130.0,0.0,15129.0,0.1,4.7,4.7,0,tth,0,-4.7,4271.794,4269.25,0,x,0,4269.25
1638655098.437847,3.434363444268357,59.72614238179003,59.72239670795881,0,kth,0,230.9667456738312,6060.0,10.0,52010.0,0.0,15144.0,0.1,4.8,4.800000000000001,0,tth,0,-4.800000000000001,4266.032,4264.222222222223,0,x,0,4264.222222222223
1638655099.7781913,3.150393336418325,59.779142381790024,59.77239670795882,0,kth,0,230.9167456738312,5930.0,10.0,47656.0,0.0,15127.0,0.1,4.9,4.9,0,tth,0,-4.9,4259.195,4259.194444444444,0,x,0,4259.194444444444
1638655101.393587,1.9535160118851107,59.82414238179001,59.82239670795883,0,kth,0,230.8667456738312,5972.0,11.0,29586.0,0.0,15145.0,0.1,5.0,5.0,0,tth,0,-5.0,4256.24,4254.166666666667,0,x,0,4254.166666666667
1638655103.029072,1.6099253287517346,59.87214238179001,59.87239670795881,0,kth,0,230.8167456738312,5896.0,9.0,24363.0,0.0,15133.0,0.1,5.1000000000000005,5.1,0,tth,0,-5.1,4251.004,4249.138888888889,0,x,0,4249.138888888889
1638655104.8310168,1.2766041721679429,59.92114238179002,59.922396707958825,0,kth,0,230.7667456738312,5892.0,10.0,19338.0,0.0,15148.0,0.1,5.2,5.2,0,tth,0,-5.2,4246.914,4244.111111111111,0,x,0,4244.111111111111
1638655106.2775965,1.1476949533699319,59.97114238179,59.97239670795881,0,kth,0,230.7167456738312,5876.0,10.0,17352.0,0.0,15119.0,0.1,5.3,5.300000000000001,0,tth,0,-5.300000000000001,4239.116,4239.083333333333,0,x,0,4239.083333333333
1638655107.7893927,0.9918720676666887,60.023142381790024,60.02239670795882,0,kth,0,230.6667456738312,5737.0,10.0,15010.0,0.0,15133.0,0.1,5.4,5.4,0,tth,0,-5.4,4236.448,4234.055555555556,0,x,0,4234.055555555556
1638655109.3379977,0.8107428722630151,60.069142381790016,60.07239670795883,0,kth,0,230.6167456738312,5664.0,10.0,12256.0,0.0,15117.0,0.1,5.5,5.5,0,tth,0,-5.5,4230.525,4229.027777777777,0,x,0,4229.027777777777
1638655111.8412526,0.8211758481581906,60.12214238179001,60.12239670795881,0,kth,0,230.5667456738312,5763.0,10.0,12417.0,0.0,15121.0,0.1,5.6000000000000005,5.6,0,tth,0,-5.6,4226.628,4224.0,0,x,0,4224.0
1638655113.4615726,0.7739929889542959,60.172142381790025,60.172396707958825,0,kth,0,230.5167456738312,5778.0,10.0,11702.0,0.0,15119.0,0.1,5.7,5.7,0,tth,0,-5.7,4221.049,4218.972222222223,0,x,0,4218.972222222223
1638655115.0891533,0.7809089104981147,60.22214238179001,60.22239670795881,0,kth,0,230.4667456738312,5938.0,9.0,11805.0,0.0,15117.0,0.1,5.8,5.800000000000001,0,tth,0,-5.800000000000001,4216.222,4213.944444444444,0,x,0,4213.944444444444
1638655116.6428864,0.6700853569774367,60.27214238179002,60.27239670795882,0,kth,0,230.4167456738312,5892.0,9.0,10127.0,0.0,15113.0,0.1,5.9,5.9,0,tth,0,-5.9,4211.071,4208.916666666667,0,x,0,4208.916666666667
1638655118.197749,0.5641382049245433,60.325142381790016,60.32239670795883,0,kth,0,230.3667456738312,5661.0,10.0,8523.0,0.0,15108.0,0.1,6.0,6.0,0,tth,0,-6.0,4206.63,4203.888888888889,0,x,0,4203.888888888889
1638655119.372333,0.32669269971540144,60.36914238179003,60.37239670795881,0,kth,0,230.3167456738312,5462.0,10.0,4936.0,0.0,15109.0,0.1,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005,4198.859,4198.861111111111,0,x,0,4198.861111111111
1638655120.8713505,0.47802488747683347,60.43314238179002,60.422396707958825,0,kth,0,230.2667456738312,5379.0,10.0,7222.0,0.0,15108.0,0.1,6.2,6.2,0,tth,0,-6.2,4196.393,4193.833333333333,0,x,0,4193.833333333333
1638655122.4869955,0.364297520661157,60.47714238179,60.47239670795881,0,kth,0,230.2167456738312,5235.0,10.0,5510.0,0.0,15125.0,0.1,6.3,6.3,0,tth,0,-6.3,4191.68,4188.805555555556,0,x,0,4188.805555555556
1638655124.1328,0.2644567950244806,60.519142381790004,60.52239670795882,0,kth,0,230.1667456738312,5411.0,10.0,3997.0,0.0,15114.0,0.1,6.4,6.4,0,tth,0,-6.4,4186.43,4183.777777777777,0,x,0,4183.777777777777
1638655125.9075618,0.46810059563203177,60.57614238179002,60.57239670795883,0,kth,0,230.1167456738312,5394.0,10.0,7073.0,0.0,15110.0,0.1,6.5,6.5,0,tth,0,-6.5,4178.679,4178.75,0,x,0,4178.75
1638655127.4184933,0.44652300370174514,60.62414238179002,60.62239670795881,0,kth,0,230.0667456738312,5454.0,10.0,6755.0,0.0,15128.0,0.1,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005,4175.84,4173.722222222223,0,x,0,4173.722222222223
1638655129.0068839,0.3700417190914509,60.66914238179001,60.672396707958825,0,kth,0,230.0167456738312,5580.0,9.0,5588.0,0.0,15101.0,0.1,6.7,6.7,0,tth,0,-6.7,4170.668,4168.694444444444,0,x,0,4168.694444444444
1638655130.5484424,0.5620568550791862,60.74114238179001,60.72239670795881,0,kth,0,229.9667456738312,5473.0,9.0,8482.0,0.0,15091.0,0.1,6.8,6.800000000000001,0,tth,0,-6.800000000000001,4163.533,4163.666666666667,0,x,0,4163.666666666667
1638655131.867657,0.23682119205298013,60.77014238179001,60.77239670795882,0,kth,0,229.9167456738312,5506.0,9.0,3576.0,0.0,15100.0,0.1,6.9,6.9,0,tth,0,-6.9,4158.627,4158.638888888889,0,x,0,4158.638888888889
1638655133.3841827,0.18565568347227737,60.82314238179001,60.82239670795883,0,kth,0,229.8667456738312,5286.0,9.0,2806.0,0.0,15114.0,0.1,7.0,7.0,0,tth,0,-7.0,4156.222,4153.611111111111,0,x,0,4153.611111111111
