time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638589542.963581,220.004,220.0,0,z,0,220.0,5902.0,0.1
1638589543.215412,229.997,230.0,0,z,0,230.0,6174.0,0.1
1638589543.4688914,239.997,240.0,0,z,0,240.0,6440.0,0.1
1638589543.7752128,249.99800000000002,250.0,0,z,0,250.0,6696.0,0.1
1638589544.0828688,259.998,260.0,0,z,0,260.0,6909.0,0.1
1638589544.3797264,269.99,270.0,0,z,0,270.0,7116.0,0.1
1638589544.6200597,279.98,280.0,0,z,0,280.0,7377.0,0.1
1638589544.8651228,289.988,290.0,0,z,0,290.0,7659.0,0.1
1638589545.1142974,299.999,300.0,0,z,0,300.0,8047.0,0.1
1638589545.367513,309.995,310.0,0,z,0,310.0,8397.0,0.1
1638589545.6137736,319.993,320.0,0,z,0,320.0,8774.0,0.1
1638589545.9147546,330.002,330.0,0,z,0,330.0,9099.0,0.1
1638589546.214764,340.003,340.0,0,z,0,340.0,9377.0,0.1
1638589546.5295212,349.998,350.0,0,z,0,350.0,9619.0,0.1
1638589546.7681193,359.992,360.0,0,z,0,360.0,10019.0,0.1
1638589547.02468,369.996,370.0,0,z,0,370.0,10376.0,0.1
1638589547.2694345,379.992,380.0,0,z,0,380.0,10799.0,0.1
1638589547.514833,389.996,390.0,0,z,0,390.0,11202.0,0.1
1638589547.7574031,399.992,400.0,0,z,0,400.0,11584.0,0.1
1638589548.008849,410.00100000000003,410.0,0,z,0,410.0,11847.0,0.1
1638589548.2514286,419.98,420.0,0,z,0,420.0,12153.0,0.1
1638589548.5018618,430.003,430.0,0,z,0,430.0,12539.0,0.1
1638589548.7445576,439.994,440.0,0,z,0,440.0,12927.0,0.1
1638589548.9947991,450.00100000000003,450.0,0,z,0,450.0,13332.0,0.1
1638589549.2395065,459.993,460.0,0,z,0,460.0,13736.0,0.1
1638589549.4874828,469.988,470.0,0,z,0,470.0,14038.0,0.1
1638589549.7315004,479.98900000000003,480.0,0,z,0,480.0,14382.0,0.1
1638589549.9802592,489.994,490.0,0,z,0,490.0,14602.0,0.1
1638589550.2273674,499.973,500.0,0,z,0,500.0,14882.0,0.1
1638589550.5354807,509.995,510.0,0,z,0,510.0,15281.0,0.1
1638589550.8391306,520.0020000000001,520.0,0,z,0,520.0,15629.0,0.1
1638589551.1406765,530.0020000000001,530.0,0,z,0,530.0,16000.0,0.1
1638589551.4483938,540.003,540.0,0,z,0,540.0,16299.0,0.1
