time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638564770.1902506,30138.0,10.0,14598.0,0.0,20666.0,0.1,59.327142381790026,59.32239670795883,0,kth,0,231.3667456738312,4.0,4.0,0,tth,0,-4.0
1638564771.390869,30064.0,10.0,11715.0,0.0,20656.0,0.1,59.36814238179002,59.37239670795881,0,kth,0,231.3167456738312,4.1,4.1,0,tth,0,-4.1
1638564772.3881636,29708.0,9.0,10338.0,0.0,20665.0,0.1,59.42514238179001,59.422396707958825,0,kth,0,231.2667456738312,4.2,4.2,0,tth,0,-4.2
1638564773.4107535,29600.0,10.0,8539.0,0.0,20668.0,0.1,59.46814238179002,59.47239670795881,0,kth,0,231.2167456738312,4.3,4.300000000000001,0,tth,0,-4.300000000000001
1638564774.4080634,29731.0,9.0,7623.0,0.0,20649.0,0.1,59.51814238179003,59.52239670795882,0,kth,0,231.1667456738312,4.4,4.4,0,tth,0,-4.4
1638564775.378977,30121.0,10.0,7223.0,0.0,20655.0,0.1,59.56814238179001,59.57239670795883,0,kth,0,231.1167456738312,4.5,4.5,0,tth,0,-4.5
1638564776.3789213,30599.0,10.0,7085.0,0.0,20674.0,0.1,59.62714238179001,59.62239670795881,0,kth,0,231.0667456738312,4.6000000000000005,4.6,0,tth,0,-4.6
1638564777.3767848,30951.0,10.0,5787.0,0.0,20665.0,0.1,59.66914238179001,59.672396707958825,0,kth,0,231.0167456738312,4.7,4.7,0,tth,0,-4.7
1638564778.4379964,30816.0,9.0,4570.0,0.0,20673.0,0.1,59.720142381790026,59.72239670795881,0,kth,0,230.9667456738312,4.8,4.800000000000001,0,tth,0,-4.800000000000001
1638564779.4887774,30282.0,9.0,3475.0,0.0,20657.0,0.1,59.77014238179001,59.77239670795882,0,kth,0,230.9167456738312,4.9,4.9,0,tth,0,-4.9
1638564782.104115,30250.0,9.0,3134.0,0.0,20663.0,0.1,59.82814238179,59.82239670795883,0,kth,0,230.8667456738312,5.0,5.0,0,tth,0,-5.0
1638564783.4086833,29912.0,10.0,2880.0,0.0,20668.0,0.1,59.86814238179002,59.87239670795881,0,kth,0,230.8167456738312,5.1000000000000005,5.1,0,tth,0,-5.1
1638564784.4733853,29609.0,10.0,3291.0,0.0,20684.0,0.1,59.922142381790025,59.922396707958825,0,kth,0,230.7667456738312,5.2,5.2,0,tth,0,-5.2
1638564785.4754145,29839.0,9.0,3321.0,0.0,20734.0,0.1,59.96914238179002,59.97239670795881,0,kth,0,230.7167456738312,5.3,5.300000000000001,0,tth,0,-5.300000000000001
1638564786.4897504,29786.0,9.0,3225.0,0.0,20734.0,0.1,60.01814238179003,60.02239670795882,0,kth,0,230.6667456738312,5.4,5.4,0,tth,0,-5.4
1638564787.5206943,29657.0,10.0,2924.0,0.0,20733.0,0.1,60.07014238179002,60.07239670795883,0,kth,0,230.6167456738312,5.5,5.5,0,tth,0,-5.5
1638564788.5288038,29102.0,10.0,2555.0,0.0,20740.0,0.1,60.12314238179002,60.12239670795881,0,kth,0,230.5667456738312,5.6000000000000005,5.6,0,tth,0,-5.6
1638564789.7202156,28760.0,10.0,2085.0,0.0,20747.0,0.1,60.17114238179002,60.172396707958825,0,kth,0,230.5167456738312,5.7,5.7,0,tth,0,-5.7
1638564790.7960732,28146.0,10.0,1752.0,0.0,20723.0,0.1,60.21914238179002,60.22239670795881,0,kth,0,230.4667456738312,5.8,5.800000000000001,0,tth,0,-5.800000000000001
1638564791.8609293,27781.0,9.0,1562.0,0.0,20721.0,0.1,60.26814238179003,60.27239670795882,0,kth,0,230.4167456738312,5.9,5.9,0,tth,0,-5.9
1638564793.058773,27583.0,9.0,1504.0,0.0,20723.0,0.1,60.32214238179,60.32239670795883,0,kth,0,230.3667456738312,6.0,6.0,0,tth,0,-6.0
1638564794.2207775,27343.0,10.0,1424.0,0.0,20712.0,0.1,60.36814238179002,60.37239670795881,0,kth,0,230.3167456738312,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005
1638564796.620689,27229.0,10.0,1546.0,0.0,20722.0,0.1,60.42714238179002,60.422396707958825,0,kth,0,230.2667456738312,6.2,6.2,0,tth,0,-6.2
1638564798.004425,26954.0,9.0,1448.0,0.0,20709.0,0.1,60.46914238179002,60.47239670795881,0,kth,0,230.2167456738312,6.3,6.3,0,tth,0,-6.3
1638564798.993765,26606.0,9.0,1537.0,0.0,20710.0,0.1,60.52614238179001,60.52239670795882,0,kth,0,230.1667456738312,6.4,6.4,0,tth,0,-6.4
1638564800.0002508,26430.0,9.0,1391.0,0.0,20706.0,0.1,60.56814238179001,60.57239670795883,0,kth,0,230.1167456738312,6.5,6.5,0,tth,0,-6.5
1638564802.602307,26188.0,9.0,1394.0,0.0,20707.0,0.1,60.62914238179002,60.62239670795881,0,kth,0,230.0667456738312,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005
1638564803.945605,26018.0,9.0,1160.0,0.0,20681.0,0.1,60.668142381790005,60.672396707958825,0,kth,0,230.0167456738312,6.7,6.7,0,tth,0,-6.7
1638564806.2930775,25771.0,10.0,1148.0,0.0,20689.0,0.1,60.72714238179,60.72239670795881,0,kth,0,229.9667456738312,6.8,6.800000000000001,0,tth,0,-6.800000000000001
1638564807.7781968,25374.0,10.0,993.0,0.0,20704.0,0.1,60.769142381790004,60.77239670795882,0,kth,0,229.9167456738312,6.9,6.9,0,tth,0,-6.9
1638564808.7925453,24810.0,9.0,971.0,0.0,20679.0,0.1,60.82614238179002,60.82239670795883,0,kth,0,229.8667456738312,7.0,7.0,0,tth,0,-7.0
1638564810.021212,24697.0,10.0,826.0,0.0,20695.0,0.1,60.86914238179003,60.87239670795881,0,kth,0,229.8167456738312,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005
1638564811.4430218,24407.0,10.0,799.0,0.0,20677.0,0.1,60.92714238179002,60.922396707958825,0,kth,0,229.7667456738312,7.2,7.2,0,tth,0,-7.2
1638564812.464617,24206.0,9.0,717.0,0.0,20682.0,0.1,60.96814238179002,60.97239670795881,0,kth,0,229.7167456738312,7.3,7.300000000000001,0,tth,0,-7.300000000000001
1638564813.69617,23806.0,10.0,684.0,0.0,20692.0,0.1,61.019142381790004,61.02239670795882,0,kth,0,229.6667456738312,7.4,7.4,0,tth,0,-7.4
1638564814.707056,23597.0,9.0,706.0,0.0,20709.0,0.1,61.077142381790026,61.07239670795883,0,kth,0,229.6167456738312,7.5,7.5,0,tth,0,-7.5
1638564816.0725667,23343.0,10.0,623.0,0.0,20701.0,0.1,61.11814238179002,61.12239670795881,0,kth,0,229.5667456738312,7.6000000000000005,7.6000000000000005,0,tth,0,-7.6000000000000005
1638564817.094277,23063.0,9.0,644.0,0.0,20688.0,0.1,61.176142381790015,61.172396707958825,0,kth,0,229.5167456738312,7.7,7.7,0,tth,0,-7.7
1638564818.3905392,22882.0,10.0,557.0,0.0,20684.0,0.1,61.21814238179002,61.22239670795881,0,kth,0,229.4667456738312,7.8,7.800000000000001,0,tth,0,-7.800000000000001
1638564819.4307477,22730.0,10.0,550.0,0.0,20682.0,0.1,61.27214238179002,61.27239670795882,0,kth,0,229.4167456738312,7.9,7.9,0,tth,0,-7.9
1638564820.4543254,22502.0,10.0,524.0,0.0,20703.0,0.1,61.32314238179001,61.32239670795883,0,kth,0,229.3667456738312,8.0,8.0,0,tth,0,-8.0
