time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638585466.8282723,-5070.722,-5070.75,0,x,0,-5070.75,3721.0,623.0,6786.0,0.0,14513.0,0.1,0.46758078963687727,70.02114238179001,70.02239670795882,0,kth,0,220.6667456738312,25.400000000000002,25.4,0,tth,0,-25.4
1638585467.4983435,-5075.778,-5075.763888888889,0,x,0,-5075.763888888889,3520.0,615.0,6888.0,0.0,14492.0,0.1,0.4752967154292023,70.07114238179003,70.07239670795883,0,kth,0,220.6167456738312,25.5,25.5,0,tth,0,-25.5
1638585468.1900663,-5080.791,-5080.777777777777,0,x,0,-5080.777777777777,3705.0,644.0,7327.0,0.0,14504.0,0.1,0.5051709873138445,70.12114238179001,70.12239670795881,0,kth,0,220.5667456738312,25.6,25.6,0,tth,0,-25.6
1638585468.8208387,-5085.843,-5085.791666666667,0,x,0,-5085.791666666667,3627.0,619.0,7896.0,0.0,14533.0,0.1,0.5433152136516892,70.17114238179002,70.1723967079588,0,kth,0,220.51674567383122,25.7,25.7,0,tth,0,-25.7
1638585469.4954627,-5090.751,-5090.805555555556,0,x,0,-5090.805555555556,3565.0,615.0,8688.0,0.0,14504.0,0.1,0.5990071704357418,70.22214238179001,70.22239670795881,0,kth,0,220.4667456738312,25.8,25.8,0,tth,0,-25.8
1638585470.127411,-5095.801,-5095.819444444444,0,x,0,-5095.819444444444,3537.0,617.0,9408.0,0.0,14501.0,0.1,0.6487828425625819,70.27314238179002,70.27239670795882,0,kth,0,220.4167456738312,25.900000000000002,25.9,0,tth,0,-25.9
1638585470.808887,-5100.8,-5100.833333333333,0,x,0,-5100.833333333333,3515.0,627.0,9745.0,0.0,14520.0,0.1,0.6711432506887053,70.32014238179002,70.32239670795883,0,kth,0,220.3667456738312,26.0,26.0,0,tth,0,-26.0
1638585471.3316934,-5105.716,-5105.847222222223,0,x,0,-5105.847222222223,3556.0,637.0,9910.0,0.0,14504.0,0.1,0.6832597904026475,70.37114238179001,70.37239670795881,0,kth,0,220.3167456738312,26.101,26.1,0,tth,0,-26.1
1638585472.009162,-5110.876,-5110.861111111111,0,x,0,-5110.861111111111,3515.0,613.0,9655.0,0.0,14508.0,0.1,0.6654948993658671,70.42314238179003,70.4223967079588,0,kth,0,220.26674567383122,26.2,26.2,0,tth,0,-26.2
1638585472.7017083,-5115.825,-5115.875,0,x,0,-5115.875,3541.0,646.0,8970.0,0.0,14509.0,0.1,0.6182369563719071,70.47014238179003,70.47239670795881,0,kth,0,220.2167456738312,26.3,26.3,0,tth,0,-26.3
1638585473.3328242,-5120.8640000000005,-5120.888888888889,0,x,0,-5120.888888888889,3427.0,629.0,8115.0,0.0,14503.0,0.1,0.5595394056402123,70.52314238179002,70.52239670795882,0,kth,0,220.1667456738312,26.400000000000002,26.4,0,tth,0,-26.4
1638585473.9895437,-5125.818,-5125.902777777777,0,x,0,-5125.902777777777,3524.0,624.0,6968.0,0.0,14515.0,0.1,0.4800551153978643,70.56814238179001,70.57239670795883,0,kth,0,220.1167456738312,26.5,26.5,0,tth,0,-26.5
1638585474.6902623,-5130.9490000000005,-5130.916666666667,0,x,0,-5130.916666666667,3530.0,687.0,6513.0,0.0,14504.0,0.1,0.4490485383342526,70.62114238179001,70.62239670795881,0,kth,0,220.0667456738312,26.6,26.6,0,tth,0,-26.6
1638585475.3526082,-5135.86,-5135.930555555556,0,x,0,-5135.930555555556,3334.0,621.0,5389.0,0.0,14497.0,0.1,0.37173208249982753,70.67514238179001,70.6723967079588,0,kth,0,220.01674567383122,26.7,26.7,0,tth,0,-26.7
1638585476.0035923,-5140.9220000000005,-5140.944444444444,0,x,0,-5140.944444444444,3372.0,611.0,4939.0,0.0,14487.0,0.1,0.34092634776006076,70.72114238179,70.72239670795881,0,kth,0,219.9667456738312,26.8,26.8,0,tth,0,-26.8
1638585476.6746788,-5145.899,-5145.958333333333,0,x,0,-5145.958333333333,3400.0,624.0,4893.0,0.0,14492.0,0.1,0.3376345569969638,70.77114238179001,70.77239670795882,0,kth,0,219.9167456738312,26.900000000000002,26.9,0,tth,0,-26.9
1638585477.3104355,-5150.9980000000005,-5150.972222222223,0,x,0,-5150.972222222223,3392.0,628.0,5284.0,0.0,14511.0,0.1,0.3641375508235132,70.82114238179003,70.82239670795883,0,kth,0,219.8667456738312,27.0,27.0,0,tth,0,-27.0
1638585477.9363427,-5155.972,-5155.986111111111,0,x,0,-5155.986111111111,3435.0,644.0,5698.0,0.0,14504.0,0.1,0.39285714285714285,70.87414238179002,70.87239670795881,0,kth,0,219.8167456738312,27.1,27.1,0,tth,0,-27.1
1638585478.585945,-5160.857,-5161.0,0,x,0,-5161.0,3428.0,624.0,5959.0,0.0,14496.0,0.1,0.4110789183222958,70.92014238179001,70.9223967079588,0,kth,0,219.76674567383122,27.2,27.2,0,tth,0,-27.2
1638585479.2087972,-5165.993,-5166.013888888889,0,x,0,-5166.013888888889,3370.0,497.0,6515.0,0.0,14505.0,0.1,0.44915546363322995,70.97214238179001,70.97239670795881,0,kth,0,219.7167456738312,27.3,27.3,0,tth,0,-27.3
1638585479.9124439,-5170.974,-5171.027777777777,0,x,0,-5171.027777777777,3272.0,614.0,7380.0,0.0,14515.0,0.1,0.5084395452979676,71.02614238179001,71.02239670795882,0,kth,0,219.6667456738312,27.400000000000002,27.4,0,tth,0,-27.4
1638585480.5434682,-5175.9710000000005,-5176.041666666667,0,x,0,-5176.041666666667,3435.0,640.0,7509.0,0.0,14498.0,0.1,0.5179335080700787,71.06914238179002,71.07239670795883,0,kth,0,219.6167456738312,27.5,27.5,0,tth,0,-27.5
1638585481.299211,-5181.06,-5181.055555555556,0,x,0,-5181.055555555556,3431.0,625.0,7353.0,0.0,14500.0,0.1,0.5071034482758621,71.11814238179002,71.12239670795881,0,kth,0,219.5667456738312,27.6,27.6,0,tth,0,-27.6
1638585481.987873,-5186.031,-5186.069444444444,0,x,0,-5186.069444444444,3346.0,639.0,7492.0,0.0,14481.0,0.1,0.5173675851115255,71.17214238179002,71.1723967079588,0,kth,0,219.51674567383122,27.7,27.7,0,tth,0,-27.7
1638585482.6311817,-5191.106,-5191.083333333333,0,x,0,-5191.083333333333,3229.0,646.0,7017.0,0.0,14490.0,0.1,0.4842650103519669,71.22114238179,71.22239670795881,0,kth,0,219.4667456738312,27.8,27.8,0,tth,0,-27.8
1638585483.296404,-5196.1410000000005,-5196.097222222223,0,x,0,-5196.097222222223,3296.0,627.0,6325.0,0.0,14493.0,0.1,0.4364175809011247,71.27014238179001,71.27239670795882,0,kth,0,219.4167456738312,27.900000000000002,27.9,0,tth,0,-27.9
1638585483.9388332,-5201.144,-5201.111111111111,0,x,0,-5201.111111111111,3232.0,638.0,5557.0,0.0,14486.0,0.1,0.383611763081596,71.31914238179002,71.32239670795883,0,kth,0,219.3667456738312,28.0,28.0,0,tth,0,-28.0
1638585484.7401242,-5206.133,-5206.125,0,x,0,-5206.125,3253.0,640.0,4967.0,0.0,14545.0,0.1,0.3414919216225507,71.37614238179,71.37239670795881,0,kth,0,219.3167456738312,28.1,28.1,0,tth,0,-28.1
1638585485.5870337,-5211.198,-5211.138888888889,0,x,0,-5211.138888888889,3372.0,645.0,4403.0,0.0,14538.0,0.1,0.3028614665015821,71.41914238179001,71.4223967079588,0,kth,0,219.26674567383122,28.2,28.200000000000003,0,tth,0,-28.200000000000003
1638585486.3905387,-5216.103,-5216.152777777777,0,x,0,-5216.152777777777,3208.0,641.0,4134.0,0.0,14557.0,0.1,0.28398708525108196,71.47714238179,71.47239670795881,0,kth,0,219.2167456738312,28.3,28.3,0,tth,0,-28.3
1638585487.0367234,-5221.1630000000005,-5221.166666666667,0,x,0,-5221.166666666667,3284.0,627.0,3923.0,0.0,14544.0,0.1,0.26973322332233224,71.52214238179002,71.52239670795882,0,kth,0,219.1667456738312,28.400000000000002,28.4,0,tth,0,-28.4
1638585487.759751,-5226.206,-5226.180555555556,0,x,0,-5226.180555555556,3169.0,637.0,4172.0,0.0,14549.0,0.1,0.28675510344353566,71.57614238179002,71.57239670795883,0,kth,0,219.1167456738312,28.5,28.5,0,tth,0,-28.5
1638585488.411107,-5231.214,-5231.194444444444,0,x,0,-5231.194444444444,3246.0,640.0,4279.0,0.0,14542.0,0.1,0.29425113464447805,71.62014238179,71.62239670795881,0,kth,0,219.0667456738312,28.6,28.6,0,tth,0,-28.6
1638585489.0686963,-5236.211,-5236.208333333333,0,x,0,-5236.208333333333,3256.0,623.0,4525.0,0.0,14545.0,0.1,0.31110347198349947,71.66814238179,71.6723967079588,0,kth,0,219.01674567383122,28.7,28.700000000000003,0,tth,0,-28.700000000000003
1638585489.6975284,-5241.197,-5241.222222222223,0,x,0,-5241.222222222223,3276.0,635.0,5422.0,0.0,14551.0,0.1,0.37262043845783793,71.72314238179001,71.72239670795881,0,kth,0,218.9667456738312,28.8,28.8,0,tth,0,-28.8
1638585490.4331195,-5246.219,-5246.236111111111,0,x,0,-5246.236111111111,3187.0,641.0,5848.0,0.0,14541.0,0.1,0.40217316553194415,71.77614238179001,71.77239670795882,0,kth,0,218.9167456738312,28.900000000000002,28.9,0,tth,0,-28.9
1638585491.0916255,-5251.27,-5251.25,0,x,0,-5251.25,3155.0,646.0,5853.0,0.0,14543.0,0.1,0.4024616654060373,71.82114238179003,71.82239670795883,0,kth,0,218.8667456738312,29.0,29.0,0,tth,0,-29.0
1638585491.7650366,-5256.292,-5256.263888888889,0,x,0,-5256.263888888889,3136.0,608.0,5866.0,0.0,14554.0,0.1,0.40305070770922086,71.87114238179001,71.87239670795881,0,kth,0,218.8167456738312,29.1,29.1,0,tth,0,-29.1
1638585492.4602585,-5261.2660000000005,-5261.277777777777,0,x,0,-5261.277777777777,3190.0,635.0,5756.0,0.0,14532.0,0.1,0.39609138453069087,71.92214238179002,71.9223967079588,0,kth,0,218.76674567383122,29.2,29.200000000000003,0,tth,0,-29.200000000000003
1638585493.1021905,-5266.295,-5266.291666666667,0,x,0,-5266.291666666667,3129.0,642.0,5518.0,0.0,14535.0,0.1,0.37963536291709665,71.97114238179,71.97239670795881,0,kth,0,218.7167456738312,29.3,29.3,0,tth,0,-29.3
1638585494.057364,-5271.319,-5271.305555555556,0,x,0,-5271.305555555556,3133.0,639.0,4758.0,0.0,14532.0,0.1,0.3274153592072667,72.01814238179003,72.02239670795882,0,kth,0,218.6667456738312,29.400000000000002,29.4,0,tth,0,-29.4
1638585494.707775,-5276.3150000000005,-5276.319444444444,0,x,0,-5276.319444444444,3124.0,634.0,4451.0,0.0,14536.0,0.1,0.30620528343423226,72.07214238179,72.07239670795883,0,kth,0,218.6167456738312,29.5,29.5,0,tth,0,-29.5
1638585495.9599125,-5281.375,-5281.333333333333,0,x,0,-5281.333333333333,3163.0,648.0,4104.0,0.0,14534.0,0.1,0.282372368239989,72.12714238179001,72.12239670795881,0,kth,0,218.5667456738312,29.6,29.6,0,tth,0,-29.6
1638585496.9734328,-5286.214,-5286.347222222223,0,x,0,-5286.347222222223,3102.0,646.0,3648.0,0.0,14524.0,0.1,0.25117047645276785,72.16914238179001,72.1723967079588,0,kth,0,218.51674567383122,29.7,29.700000000000003,0,tth,0,-29.700000000000003
1638585497.971945,-5291.293,-5291.361111111111,0,x,0,-5291.361111111111,3134.0,641.0,3567.0,0.0,14536.0,0.1,0.24539075399009355,72.22714238179,72.22239670795881,0,kth,0,218.4667456738312,29.8,29.8,0,tth,0,-29.8
1638585498.8489685,-5296.319,-5296.375,0,x,0,-5296.375,3118.0,641.0,3410.0,0.0,14528.0,0.1,0.23471916299559473,72.27014238179001,72.27239670795882,0,kth,0,218.4167456738312,29.900000000000002,29.9,0,tth,0,-29.9
1638585499.7953188,-5301.313,-5301.388888888889,0,x,0,-5301.388888888889,3106.0,639.0,3504.0,0.0,14542.0,0.1,0.2409572273414936,72.32514238179002,72.32239670795883,0,kth,0,218.3667456738312,30.0,30.0,0,tth,0,-30.0
1638585500.5793107,-5306.438,-5306.402777777777,0,x,0,-5306.402777777777,3080.0,636.0,3744.0,0.0,14549.0,0.1,0.2573372740394529,72.37714238179001,72.37239670795881,0,kth,0,218.3167456738312,30.1,30.1,0,tth,0,-30.1
