time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638574652.7543108,0.5883006499638909,62.27614238179001,62.27239670795882,0,kth,0,228.4167456738312,10525.0,9.0,10590.0,0.0,18001.0,0.1,9.9,9.9,0,tth,0,-9.9
1638574653.4253025,0.5126452114946362,62.321142381790025,62.32239670795883,0,kth,0,228.3667456738312,10378.0,10.0,9223.0,0.0,17991.0,0.1,10.0,10.0,0,tth,0,-10.0
1638574654.0596423,0.4744245524296675,62.37714238179001,62.37239670795881,0,kth,0,228.3167456738312,10203.0,9.0,8533.0,0.0,17986.0,0.1,10.1,10.1,0,tth,0,-10.1
1638574654.6761124,0.4692367601246106,62.42714238179002,62.422396707958825,0,kth,0,228.2667456738312,10180.0,9.0,8435.0,0.0,17976.0,0.1,10.200000000000001,10.2,0,tth,0,-10.2
1638574655.3355906,0.48692992213570635,62.47514238179002,62.47239670795881,0,kth,0,228.2167456738312,10140.0,11.0,8755.0,0.0,17980.0,0.1,10.3,10.3,0,tth,0,-10.3
1638574655.978164,0.5198509786476868,62.525142381790005,62.52239670795882,0,kth,0,228.1667456738312,10004.0,10.0,9349.0,0.0,17984.0,0.1,10.4,10.4,0,tth,0,-10.4
1638574656.754894,0.5551415382904177,62.577142381790026,62.57239670795883,0,kth,0,228.1167456738312,9886.0,9.0,9982.0,0.0,17981.0,0.1,10.5,10.5,0,tth,0,-10.5
1638574657.3848155,0.5850998720302676,62.62214238179001,62.62239670795881,0,kth,0,228.0667456738312,9801.0,10.0,10516.0,0.0,17973.0,0.1,10.6,10.600000000000001,0,tth,0,-10.600000000000001
1638574658.0435553,0.604536105397743,62.670142381790015,62.672396707958825,0,kth,0,228.0167456738312,9718.0,10.0,10875.0,0.0,17989.0,0.1,10.700000000000001,10.7,0,tth,0,-10.7
1638574658.680348,0.6083375076529193,62.71914238179002,62.72239670795881,0,kth,0,227.9667456738312,9765.0,9.0,10930.0,0.0,17967.0,0.1,10.8,10.8,0,tth,0,-10.8
1638574659.6289933,0.5908888641673156,62.76814238179003,62.77239670795882,0,kth,0,227.9167456738312,9634.0,10.0,10623.0,0.0,17978.0,0.1,10.9,10.9,0,tth,0,-10.9
1638574660.2993503,0.5730655838015242,62.81814238179001,62.82239670795883,0,kth,0,227.8667456738312,9587.0,10.0,10302.0,0.0,17977.0,0.1,11.0,11.0,0,tth,0,-11.0
1638574660.98478,0.5425058417714477,62.86814238179002,62.87239670795881,0,kth,0,227.8167456738312,9654.0,9.0,9751.0,0.0,17974.0,0.1,11.1,11.100000000000001,0,tth,0,-11.100000000000001
1638574661.6433892,0.507260083449235,62.91914238179001,62.922396707958825,0,kth,0,227.7667456738312,9580.0,10.0,9118.0,0.0,17975.0,0.1,11.200000000000001,11.2,0,tth,0,-11.2
1638574662.344069,0.4636383854108751,62.97114238179,62.97239670795881,0,kth,0,227.7167456738312,9399.0,9.0,8339.0,0.0,17986.0,0.1,11.3,11.3,0,tth,0,-11.3
1638574663.1660964,0.4092071611253197,63.019142381790004,63.02239670795882,0,kth,0,227.6667456738312,9351.0,10.0,7360.0,0.0,17986.0,0.1,11.4,11.4,0,tth,0,-11.4
1638574663.8027728,0.36520384893486846,63.06814238179001,63.07239670795883,0,kth,0,227.6167456738312,9316.0,10.0,6566.0,0.0,17979.0,0.1,11.5,11.5,0,tth,0,-11.5
1638574664.4278257,0.3438856125514632,63.12414238179002,63.12239670795881,0,kth,0,227.5667456738312,9123.0,10.0,6181.0,0.0,17974.0,0.1,11.6,11.600000000000001,0,tth,0,-11.600000000000001
1638574665.0667036,0.3120725129288773,63.174142381790006,63.172396707958825,0,kth,0,227.5167456738312,9149.0,9.0,5612.0,0.0,17983.0,0.1,11.700000000000001,11.7,0,tth,0,-11.7
1638574665.7048283,0.2860400444938821,63.22714238179,63.22239670795881,0,kth,0,227.4667456738312,9062.0,9.0,5143.0,0.0,17980.0,0.1,11.8,11.8,0,tth,0,-11.8
1638574666.3538253,0.26882019348382075,63.277142381790014,63.27239670795882,0,kth,0,227.4167456738312,8839.0,9.0,4835.0,0.0,17986.0,0.1,11.9,11.9,0,tth,0,-11.9
1638574667.2299478,0.2575673269530381,63.327142381790026,63.32239670795883,0,kth,0,227.3667456738312,8796.0,10.0,4629.0,0.0,17972.0,0.1,12.0,12.0,0,tth,0,-12.0
1638574667.8669164,0.2541995772610969,63.36914238179003,63.37239670795881,0,kth,0,227.3167456738312,8773.0,10.0,4570.0,0.0,17978.0,0.1,12.1,12.100000000000001,0,tth,0,-12.100000000000001
1638574668.5375228,0.2498608792431831,63.424142381790006,63.422396707958825,0,kth,0,227.2667456738312,8690.0,9.0,4490.0,0.0,17970.0,0.1,12.200000000000001,12.2,0,tth,0,-12.2
1638574669.2753994,0.24712100139082058,63.47714238179,63.47239670795881,0,kth,0,227.2167456738312,8620.0,10.0,4442.0,0.0,17975.0,0.1,12.3,12.3,0,tth,0,-12.3
1638574669.9596012,0.2472759617522793,63.52614238179001,63.52239670795882,0,kth,0,227.1667456738312,8683.0,10.0,4448.0,0.0,17988.0,0.1,12.4,12.4,0,tth,0,-12.4
1638574670.587408,0.24680235791346902,63.57314238179001,63.57239670795883,0,kth,0,227.1167456738312,8615.0,9.0,4438.0,0.0,17982.0,0.1,12.5,12.5,0,tth,0,-12.5
1638574671.2253652,0.2451149585258587,63.62714238179001,63.62239670795881,0,kth,0,227.0667456738312,8456.0,10.0,4403.0,0.0,17963.0,0.1,12.6,12.600000000000001,0,tth,0,-12.600000000000001
1638574671.8712442,0.2380528511821975,63.670142381790015,63.672396707958825,0,kth,0,227.0167456738312,8412.0,11.0,4279.0,0.0,17975.0,0.1,12.700000000000001,12.7,0,tth,0,-12.7
1638574672.5081308,0.22930574098798398,63.71814238179002,63.72239670795881,0,kth,0,226.9667456738312,8420.0,9.0,4122.0,0.0,17976.0,0.1,12.8,12.8,0,tth,0,-12.8
1638574673.157783,0.22629646116180727,63.771142381790014,63.77239670795882,0,kth,0,226.9167456738312,8352.0,10.0,4067.0,0.0,17972.0,0.1,12.9,12.9,0,tth,0,-12.9
1638574673.7958336,0.223185988323603,63.82314238179001,63.82239670795883,0,kth,0,226.8667456738312,8248.0,10.0,4014.0,0.0,17985.0,0.1,13.0,13.0,0,tth,0,-13.0
1638574674.439609,0.21365810254699144,63.870142381790004,63.87239670795881,0,kth,0,226.8167456738312,8210.0,10.0,3842.0,0.0,17982.0,0.1,13.1,13.100000000000001,0,tth,0,-13.100000000000001
1638574675.0998182,0.20811307105892826,63.92314238179003,63.922396707958825,0,kth,0,226.7667456738312,8096.0,9.0,3740.0,0.0,17971.0,0.1,13.200000000000001,13.2,0,tth,0,-13.2
1638574675.7451386,0.2036820735302297,63.97514238179002,63.97239670795881,0,kth,0,226.7167456738312,8063.0,10.0,3662.0,0.0,17979.0,0.1,13.3,13.3,0,tth,0,-13.3
1638574676.373197,0.19134256940967007,64.01814238179003,64.02239670795882,0,kth,0,226.6667456738312,7996.0,11.0,3439.0,0.0,17973.0,0.1,13.4,13.4,0,tth,0,-13.4
1638574677.0279734,0.18523676880222842,64.06914238179002,64.07239670795883,0,kth,0,226.6167456738312,8018.0,10.0,3325.0,0.0,17950.0,0.1,13.5,13.5,0,tth,0,-13.5
1638574677.6718364,0.17841054446360047,64.12014238179,64.12239670795881,0,kth,0,226.5667456738312,7968.0,10.0,3208.0,0.0,17981.0,0.1,13.6,13.600000000000001,0,tth,0,-13.600000000000001
1638574678.3258321,0.17148737345644677,64.16914238179001,64.1723967079588,0,kth,0,226.51674567383122,7792.0,10.0,3083.0,0.0,17978.0,0.1,13.700000000000001,13.7,0,tth,0,-13.7
1638574678.959112,0.1671862821512081,64.22514238179002,64.22239670795881,0,kth,0,226.4667456738312,7865.0,10.0,3003.0,0.0,17962.0,0.1,13.8,13.8,0,tth,0,-13.8
1638574679.6240857,0.15944125994768768,64.27214238179002,64.27239670795882,0,kth,0,226.4167456738312,7750.0,9.0,2865.0,0.0,17969.0,0.1,13.9,13.9,0,tth,0,-13.9
1638574680.2706192,0.15434746281958447,64.32314238179,64.32239670795883,0,kth,0,226.3667456738312,7696.0,10.0,2771.0,0.0,17953.0,0.1,14.0,14.0,0,tth,0,-14.0
