time,TEYcalc,TEY,mesh,scaler_time,mono_energy_setpoint,mono_energy
1638544702.8595402,2.9331250684158676,696670.0,237518.0,1.0,694.0000000000016,693.9948153
1638544706.8616078,2.8952984089896705,688971.0,237962.0,1.0,694.1000000000016,694.091285
1638544710.8661423,2.903909840710193,691842.0,238245.0,1.0,694.2000000000016,694.2013466
1638544714.8683627,2.8906389525889717,689507.0,238531.0,1.0,694.3000000000017,694.3079729
1638544718.8696654,2.880622960570684,687694.0,238731.0,1.0,694.4000000000017,694.3902774
1638544722.8716035,2.850879836589817,681098.0,238908.0,1.0,694.5000000000017,694.5073687
1638544726.8750985,2.8322439175447554,676810.0,238966.0,1.0,694.6000000000017,694.5968364
1638544730.8788068,2.84223865366278,679602.0,239108.0,1.0,694.7000000000018,694.7156591
1638544734.8755002,2.8305149884704073,677580.0,239384.0,1.0,694.8000000000018,694.8158328
1638544738.8804386,2.818272169976782,674886.0,239468.0,1.0,694.9000000000018,694.9029902
1638544743.082405,2.8082463963323323,671345.0,239062.0,1.0,695.0000000000018,695.0076211
1638544747.084478,2.775803616796195,666476.0,240102.0,1.0,695.1000000000018,695.1058092
1638544751.0853179,2.7765933091629584,667046.0,240239.0,1.0,695.2000000000019,695.1924531
1638544755.0887215,2.754195385076416,661734.0,240264.0,1.0,695.3000000000019,695.305777
1638544759.093319,2.736600771436061,657690.0,240331.0,1.0,695.4000000000019,695.4171607
1638544763.093829,2.7174377697751977,653484.0,240478.0,1.0,695.5000000000019,695.5028321
1638544767.095084,2.6911392299791674,647184.0,240487.0,1.0,695.600000000002,695.601037
1638544771.0979478,2.6737120815356095,643247.0,240582.0,1.0,695.700000000002,695.6982378
1638544775.1064408,2.6520337580121205,637594.0,240417.0,1.0,695.800000000002,695.7905695
1638544779.1019518,2.6265386294194677,631827.0,240555.0,1.0,695.900000000002,695.9066748
1638544783.1029294,2.6093986588795155,627289.0,240396.0,1.0,696.000000000002,696.0025395
1638544787.1046689,2.5956274832026294,623898.0,240365.0,1.0,696.1000000000021,696.1042412
1638544791.106771,2.5695383539286545,617162.0,240184.0,1.0,696.2000000000021,696.2159851
1638544795.1113546,2.561668896139886,614716.0,239967.0,1.0,696.3000000000021,696.3039684
1638544799.310422,2.542984916622557,610146.0,239933.0,1.0,696.4000000000021,696.4118583
1638544803.3098502,2.5299931491971193,605650.0,239388.0,1.0,696.5000000000022,696.5052811
1638544807.3139095,2.516419674478029,604673.0,240291.0,1.0,696.6000000000022,696.6100439
1638544811.3202977,2.503807027268067,600791.0,239951.0,1.0,696.7000000000022,696.7128537
1638544815.3178337,2.489416300524491,596616.0,239661.0,1.0,696.8000000000022,696.7937444
1638544819.3201394,2.4706690381949663,591745.0,239508.0,1.0,696.9000000000023,696.9006841
1638544823.3222728,2.4501810609418513,585951.0,239146.0,1.0,697.0,697.0084264
1638544827.3290646,2.361145750829949,560451.0,237364.0,1.0,697.5,697.5054088
1638544831.326493,2.304371487121927,542002.0,235206.0,1.0,698.0,698.0266988
1638544835.329538,2.2641502949275893,527024.0,232769.0,1.0,698.5,698.503192
1638544839.3322356,2.2303084101115487,510047.0,228689.0,1.0,699.0,698.9746402
1638544843.3316507,2.213682112294815,496416.0,224249.0,1.0,699.5,699.4939276
1638544847.3334448,2.205556891443712,486129.0,220411.0,1.0,700.0,700.037415
1638544851.3371959,2.1990340584853927,473982.0,215541.0,1.0,700.5,700.4802309
1638544855.5374637,2.194564557820854,459307.0,209293.0,1.0,701.0,700.9953182
1638544859.5405545,2.193488025785341,447794.0,204147.0,1.0,701.5,701.5169108
1638544863.5468223,2.1951880154346677,435207.0,198255.0,1.0,702.0,701.9939797
1638544867.5490456,2.1954944635357005,419750.0,191187.0,1.0,702.5,702.5163939
1638544871.5457795,2.198778269486602,404938.0,184165.0,1.0,703.0,702.9938955
1638544875.5513248,2.204761481744692,372285.0,168855.0,1.0,704.0,703.9945796
1638544879.5528696,2.2152858018913597,343181.0,154915.0,1.0,705.0,705.0179802
1638544883.5529242,2.2252835833902194,306426.0,137702.0,1.0,706.0,705.9964065
1638544887.5525756,2.238040853618743,274348.0,122584.0,1.0,707.0,707.0315461
1638544891.556552,2.250168331275951,240615.0,106932.0,1.0,708.0,707.9941773
1638544895.5582602,2.261186162524046,208054.0,92011.0,1.0,709.0,709.0091969
1638544899.5595293,2.271709676602426,179406.0,78974.0,1.0,710.0,710.0276933
1638544903.5612078,2.2823677658347,150335.0,65868.0,1.0,711.0,710.9642234
1638544907.5709832,2.2926446445001716,127079.0,55429.0,1.0,712.0,712.0239
1638544911.766609,2.306791878843992,104643.0,45363.0,1.0,713.0,712.9788526
1638544915.7677405,2.318348943936019,86384.0,37261.0,1.0,714.0,714.0151268
1638544919.7706997,2.3308370186255205,72207.0,30979.0,1.0,715.0,715.0008916
1638544923.7720277,2.342731730465043,59243.0,25288.0,1.0,716.0,716.0035621
1638544927.7771127,2.350569304601487,49959.0,21254.0,1.0,717.0,716.9939439
1638544931.7812083,2.3508781588944556,42699.0,18163.0,1.0,718.0,718.0028614
1638544935.782648,2.3476145930776426,37644.0,16035.0,1.0,719.0,719.014157
1638544939.7831378,2.3524623803009574,34393.0,14620.0,1.0,720.0,719.9999104
