time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638559072.8913236,25.5,25.5,0,tth,0,-25.5,70.06814238179001,70.07239670795883,0,kth,0,220.6167456738312,34614.0,9.0,14154.0,0.0,20831.0,0.1
1638559073.828837,25.6,25.6,0,tth,0,-25.6,70.12314238179002,70.12239670795881,0,kth,0,220.5667456738312,34452.0,10.0,15158.0,0.0,20839.0,0.1
1638559074.7792645,25.7,25.700000000000003,0,tth,0,-25.700000000000003,70.17014238179001,70.1723967079588,0,kth,0,220.51674567383122,34365.0,9.0,14869.0,0.0,20837.0,0.1
1638559075.7272556,25.8,25.8,0,tth,0,-25.8,70.22514238179002,70.22239670795881,0,kth,0,220.4667456738312,34190.0,10.0,15355.0,0.0,20845.0,0.1
1638559076.6917076,25.900000000000002,25.9,0,tth,0,-25.9,70.26814238179003,70.27239670795882,0,kth,0,220.4167456738312,34058.0,8.0,14426.0,0.0,20830.0,0.1
1638559077.633509,26.0,26.0,0,tth,0,-26.0,70.32314238179,70.32239670795883,0,kth,0,220.3667456738312,33900.0,9.0,15312.0,0.0,20844.0,0.1
1638559078.6152153,26.1,26.1,0,tth,0,-26.1,70.37314238179002,70.37239670795881,0,kth,0,220.3167456738312,33778.0,9.0,15079.0,0.0,20829.0,0.1
1638559079.5552013,26.2,26.200000000000003,0,tth,0,-26.200000000000003,70.41814238179,70.4223967079588,0,kth,0,220.26674567383122,33672.0,9.0,14240.0,0.0,20838.0,0.1
1638559080.6776721,26.3,26.3,0,tth,0,-26.3,70.46914238179002,70.47239670795881,0,kth,0,220.2167456738312,33546.0,9.0,14003.0,0.0,20825.0,0.1
1638559081.705692,26.400000000000002,26.4,0,tth,0,-26.4,70.52714238179001,70.52239670795882,0,kth,0,220.1667456738312,33444.0,9.0,15180.0,0.0,20836.0,0.1
1638559083.2125807,26.5,26.5,0,tth,0,-26.5,70.56814238179001,70.57239670795883,0,kth,0,220.1167456738312,33447.0,9.0,13216.0,0.0,20834.0,0.1
1638559084.2081282,26.6,26.6,0,tth,0,-26.6,70.61814238179002,70.62239670795881,0,kth,0,220.0667456738312,33363.0,8.0,13244.0,0.0,20877.0,0.1
1638559085.186007,26.7,26.700000000000003,0,tth,0,-26.700000000000003,70.67014238179001,70.6723967079588,0,kth,0,220.01674567383122,33206.0,9.0,13830.0,0.0,20875.0,0.1
1638559086.1424153,26.8,26.8,0,tth,0,-26.8,70.72514238179002,70.72239670795881,0,kth,0,219.9667456738312,33028.0,9.0,13855.0,0.0,20859.0,0.1
1638559087.0840526,26.900000000000002,26.9,0,tth,0,-26.9,70.77014238179001,70.77239670795882,0,kth,0,219.9167456738312,33006.0,8.0,13079.0,0.0,20885.0,0.1
1638559088.0319347,27.0,27.0,0,tth,0,-27.0,70.82014238179002,70.82239670795883,0,kth,0,219.8667456738312,32845.0,10.0,12664.0,0.0,20869.0,0.1
1638559088.9882689,27.1,27.1,0,tth,0,-27.1,70.87514238179003,70.87239670795881,0,kth,0,219.8167456738312,32740.0,10.0,12440.0,0.0,20866.0,0.1
