time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638656944.335257,0.017903151218867677,61.72214238179001,61.72239670795881,0,kth,0,228.9667456738312,5610.0,8.0,271.0,0.0,15137.0,0.1,8.8,8.8,0,tth,0,-8.8,458.146,458.11111111111114,0,x,0,458.11111111111114
1638656945.6387537,0.014972627135413231,61.769142381790004,61.77239670795882,0,kth,0,228.9167456738312,5567.0,9.0,227.0,0.0,15161.0,0.1,8.9,8.9,0,tth,0,-8.9,453.10200000000003,453.0833333333333,0,x,0,453.0833333333333
1638656946.878502,0.015255580504556861,61.82314238179001,61.82239670795883,0,kth,0,228.8667456738312,5483.0,9.0,231.0,0.0,15142.0,0.1,9.0,9.0,0,tth,0,-9.0,448.216,448.05555555555554,0,x,0,448.05555555555554
1638656948.0561888,0.014518577179436415,61.87114238179001,61.87239670795881,0,kth,0,228.8167456738312,5450.0,9.0,220.0,0.0,15153.0,0.1,9.1,9.100000000000001,0,tth,0,-9.100000000000001,443.023,443.02777777777777,0,x,0,443.02777777777777
1638656949.2728508,0.013871457824162759,61.92314238179003,61.922396707958825,0,kth,0,228.7667456738312,5524.0,9.0,210.0,0.0,15139.0,0.1,9.200000000000001,9.2,0,tth,0,-9.2,438.032,438.0,0,x,0,438.0
1638656950.4440145,0.011554968636513702,61.96814238179002,61.97239670795881,0,kth,0,228.7167456738312,5373.0,9.0,175.0,0.0,15145.0,0.1,9.3,9.3,0,tth,0,-9.3,432.932,432.97222222222223,0,x,0,432.97222222222223
1638656951.6567862,0.012086387953239549,62.02214238179002,62.02239670795882,0,kth,0,228.6667456738312,5331.0,9.0,183.0,0.0,15141.0,0.1,9.4,9.4,0,tth,0,-9.4,427.911,427.94444444444446,0,x,0,427.94444444444446
1638656952.9062557,0.010901883052527254,62.071142381790025,62.07239670795883,0,kth,0,228.6167456738312,5265.0,9.0,165.0,0.0,15135.0,0.1,9.5,9.5,0,tth,0,-9.5,423.065,422.9166666666667,0,x,0,422.9166666666667
1638656954.130604,0.011360634081902245,62.12414238179002,62.12239670795881,0,kth,0,228.5667456738312,5244.0,8.0,172.0,0.0,15140.0,0.1,9.6,9.600000000000001,0,tth,0,-9.600000000000001,417.90500000000003,417.8888888888889,0,x,0,417.8888888888889
1638656955.326678,0.010901883052527254,62.17114238179002,62.172396707958825,0,kth,0,228.5167456738312,5266.0,9.0,165.0,0.0,15135.0,0.1,9.700000000000001,9.7,0,tth,0,-9.7,412.91,412.86111111111114,0,x,0,412.86111111111114
1638656956.5023692,0.011155115511551156,62.22214238179001,62.22239670795881,0,kth,0,228.4667456738312,5201.0,9.0,169.0,0.0,15150.0,0.1,9.8,9.8,0,tth,0,-9.8,407.809,407.8333333333333,0,x,0,407.8333333333333
1638656957.703214,0.011097166259330207,62.271142381790014,62.27239670795882,0,kth,0,228.4167456738312,5210.0,9.0,168.0,0.0,15139.0,0.1,9.9,9.9,0,tth,0,-9.9,402.809,402.80555555555554,0,x,0,402.80555555555554
1638656958.8825762,0.01130802803861923,62.32314238179001,62.32239670795883,0,kth,0,228.3667456738312,5103.0,9.0,171.0,0.0,15122.0,0.1,10.0,10.0,0,tth,0,-10.0,397.81,397.77777777777777,0,x,0,397.77777777777777
1638656960.041367,0.01023778071334214,62.370142381790004,62.37239670795881,0,kth,0,228.3167456738312,5146.0,9.0,155.0,0.0,15140.0,0.1,10.1,10.1,0,tth,0,-10.1,392.92,392.75,0,x,0,392.75
