time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638730338.2572224,71.90214238179001,71.90014238179003,0,kth,0,218.789,13100.0,19.0,6.0,0.0,16449.0,0.2
1638730339.1390336,71.91914238179001,71.92014238179001,0,kth,0,218.769,13041.0,18.0,4.0,0.0,16447.0,0.2
1638730340.1070797,71.94214238179,71.94014238179003,0,kth,0,218.749,12975.0,19.0,5.0,0.0,16441.0,0.2
1638730341.1776745,71.95914238179,71.96014238179004,0,kth,0,218.72899999999998,12964.0,18.0,6.0,0.0,16444.0,0.2
1638730342.0789976,71.98114238179002,71.98014238179002,0,kth,0,218.709,12971.0,19.0,6.0,0.0,16449.0,0.2
1638730342.9770622,71.99814238179002,72.00014238179003,0,kth,0,218.689,13040.0,18.0,9.0,0.0,16460.0,0.2
1638730343.956984,72.01914238179,72.02014238179004,0,kth,0,218.66899999999998,12931.0,19.0,6.0,0.0,16443.0,0.2
1638730344.8551588,72.04214238179003,72.04014238179002,0,kth,0,218.649,12919.0,18.0,10.0,0.0,16456.0,0.2
1638730345.7403011,72.05814238179002,72.06014238179003,0,kth,0,218.629,12857.0,20.0,10.0,0.0,16442.0,0.2
1638730346.7253582,72.08114238179002,72.08014238179004,0,kth,0,218.60899999999998,12952.0,18.0,6.0,0.0,16457.0,0.2
1638730347.839612,72.09614238179,72.10014238179002,0,kth,0,218.589,12930.0,18.0,11.0,0.0,16455.0,0.2
1638730348.7814825,72.11914238179003,72.12014238179003,0,kth,0,218.569,12758.0,18.0,11.0,0.0,16440.0,0.2
1638730349.8072274,72.13914238179001,72.14014238179004,0,kth,0,218.54899999999998,12899.0,19.0,17.0,0.0,16439.0,0.2
1638730350.692339,72.16214238179,72.16014238179002,0,kth,0,218.529,12833.0,17.0,11.0,0.0,16453.0,0.2
1638730351.7463052,72.17814238179002,72.18014238179003,0,kth,0,218.509,12753.0,19.0,10.0,0.0,16440.0,0.2
1638730352.6847959,72.20114238179002,72.20014238179004,0,kth,0,218.48899999999998,12772.0,17.0,10.0,0.0,16439.0,0.2
1638730353.8197641,72.22214238179001,72.22014238179003,0,kth,0,218.469,12796.0,19.0,13.0,0.0,16451.0,0.2
1638730354.7359076,72.23914238179,72.24014238179001,0,kth,0,218.449,12764.0,18.0,13.0,0.0,16448.0,0.2
1638730355.8309338,72.26014238179002,72.26014238179005,0,kth,0,218.42899999999997,12815.0,19.0,17.0,0.0,16444.0,0.2
1638730357.0037,72.27714238179001,72.28014238179003,0,kth,0,218.409,12836.0,18.0,9.0,0.0,16439.0,0.2
1638730358.146544,72.29514238179001,72.30014238179001,0,kth,0,218.389,12773.0,19.0,17.0,0.0,16437.0,0.2
1638730358.985257,72.31914238179002,72.32014238179002,0,kth,0,218.369,12750.0,18.0,17.0,0.0,16435.0,0.2
1638730360.0901587,72.34214238179001,72.34014238179003,0,kth,0,218.349,12653.0,19.0,25.0,0.0,16455.0,0.2
1638730361.205927,72.36114238179002,72.36014238179001,0,kth,0,218.329,12652.0,18.0,31.0,0.0,16439.0,0.2
1638730362.2740188,72.37914238179002,72.38014238179002,0,kth,0,218.309,12532.0,18.0,53.0,0.0,16432.0,0.2
1638730363.1310265,72.40314238179002,72.40014238179003,0,kth,0,218.289,12608.0,19.0,137.0,0.0,16449.0,0.2
1638730364.026467,72.41914238179001,72.42014238179001,0,kth,0,218.269,12657.0,19.0,243.0,0.0,16427.0,0.2
1638730364.928018,72.44314238179001,72.44014238179003,0,kth,0,218.249,12510.0,19.0,415.0,0.0,16435.0,0.2
1638730365.7661994,72.46314238179002,72.46014238179004,0,kth,0,218.22899999999998,12531.0,19.0,546.0,0.0,16439.0,0.2
