time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638584858.5839546,-2955.94,-2955.9891304347825,0,x,0,-2955.9891304347825,7960.0,643.0,215.0,0.0,14518.0,0.1,0.014809202369472379,62.86914238179003,62.87239670795881,0,kth,0,227.8167456738312,11.1,11.1,0,tth,0,-11.1
1638584859.213746,-2961.0170000000003,-2961.0,0,x,0,-2961.0,7940.0,640.0,230.0,0.0,14522.0,0.1,0.015838038837625672,62.91914238179001,62.922396707958825,0,kth,0,227.7667456738312,11.200000000000001,11.200000000000001,0,tth,0,-11.200000000000001
1638584859.891722,-2966.0080000000003,-2966.0108695652175,0,x,0,-2966.0108695652175,7709.0,641.0,260.0,0.0,14542.0,0.1,0.017879246321001237,62.96914238179002,62.97239670795881,0,kth,0,227.7167456738312,11.3,11.3,0,tth,0,-11.3
1638584860.5194802,-2971.02,-2971.021739130435,0,x,0,-2971.021739130435,7776.0,649.0,302.0,0.0,14528.0,0.1,0.020787444933920703,63.023142381790024,63.02239670795882,0,kth,0,227.6667456738312,11.4,11.4,0,tth,0,-11.4
1638584861.1597557,-2975.931,-2976.032608695652,0,x,0,-2976.032608695652,7679.0,647.0,308.0,0.0,14518.0,0.1,0.021215043394406944,63.06814238179001,63.07239670795883,0,kth,0,227.6167456738312,11.5,11.5,0,tth,0,-11.5
1638584861.819451,-2980.9880000000003,-2981.0434782608695,0,x,0,-2981.0434782608695,7702.0,643.0,328.0,0.0,14541.0,0.1,0.022556908053091258,63.11814238179002,63.12239670795881,0,kth,0,227.5667456738312,11.6,11.600000000000001,0,tth,0,-11.600000000000001
1638584862.52565,-2985.956,-2986.054347826087,0,x,0,-2986.054347826087,7757.0,639.0,349.0,0.0,14516.0,0.1,0.024042435932763846,63.17714238179002,63.172396707958825,0,kth,0,227.5167456738312,11.700000000000001,11.700000000000001,0,tth,0,-11.700000000000001
1638584863.1700912,-2991.022,-2991.0652173913045,0,x,0,-2991.0652173913045,7587.0,647.0,330.0,0.0,14518.0,0.1,0.02273040363686458,63.22414238179002,63.22239670795881,0,kth,0,227.4667456738312,11.8,11.8,0,tth,0,-11.8
1638584863.7990592,-2996.096,-2996.076086956522,0,x,0,-2996.076086956522,7599.0,637.0,297.0,0.0,14516.0,0.1,0.020460181868283273,63.277142381790014,63.27239670795882,0,kth,0,227.4167456738312,11.9,11.9,0,tth,0,-11.9
1638584864.5025406,-3001.1040000000003,-3001.086956521739,0,x,0,-3001.086956521739,7482.0,645.0,261.0,0.0,14524.0,0.1,0.01797025612778849,63.32414238179001,63.32239670795883,0,kth,0,227.3667456738312,12.0,12.0,0,tth,0,-12.0
