time,TEYcalc,TEY,mesh,scaler_time,mono_energy_setpoint,mono_energy
1638517152.5601525,1.729250043500957,188822.0,109193.0,1.0,532.2000000000005,532.2010998
1638517156.5611598,1.7441942998580424,191673.0,109892.0,1.0,532.3000000000005,532.3092016
1638517160.5606787,1.755022260831795,193944.0,110508.0,1.0,532.4000000000005,532.3920408
1638517164.5709198,1.7827720078906835,197918.0,111017.0,1.0,532.5000000000006,532.4941243
1638517168.56576,1.8280252495858889,204163.0,111685.0,1.0,532.6000000000006,532.5897827
1638517172.770897,1.8761678910206119,210446.0,112168.0,1.0,532.7000000000006,532.6947674
1638517176.769093,1.9126724038401761,215365.0,112599.0,1.0,532.8000000000006,532.7956899
1638517180.7747006,1.944935243917522,220155.0,113194.0,1.0,532.9000000000007,532.9080165
1638517184.7750635,1.953888258225754,222034.0,113637.0,1.0,533.0000000000007,533.0153886
1638517188.7760262,1.947847812746559,222191.0,114070.0,1.0,533.1000000000007,533.1049689
1638517192.7792494,1.9278114971396678,221066.0,114672.0,1.0,533.2000000000007,533.2176651
1638517196.7810872,1.8929497351056543,218312.0,115329.0,1.0,533.3000000000008,533.3053216
1638517200.7848184,1.8430233058690841,214069.0,116151.0,1.0,533.4000000000008,533.4029024
1638517204.7832787,1.779094479487223,209282.0,117634.0,1.0,533.5000000000008,533.5078015
1638517208.7899601,1.7151400957243677,203901.0,118883.0,1.0,533.6000000000008,533.6000203
1638517212.7888718,1.6626765780689414,199739.0,120131.0,1.0,533.7000000000008,533.7051697
1638517216.7912579,1.6240548184674248,196954.0,121273.0,1.0,533.8000000000009,533.7976575
1638517220.797948,1.5932185391514597,195045.0,122422.0,1.0,533.9000000000009,533.9083773
1638517224.7962325,1.5755948620762266,194545.0,123474.0,1.0,534.0000000000009,534.013849
1638517228.9967155,1.562387896434403,194247.0,124327.0,1.0,534.1000000000009,534.1138322
1638517232.9987736,1.550204198838619,194346.0,125368.0,1.0,534.200000000001,534.2064282
1638517237.000373,1.5433168708645961,194995.0,126348.0,1.0,534.300000000001,534.3014128
1638517241.0022945,1.5363063218480937,195919.0,127526.0,1.0,534.400000000001,534.3980066
1638517245.0093482,1.5333757497226124,197623.0,128881.0,1.0,534.500000000001,534.493037
1638517249.0104074,1.5320979433128965,200164.0,130647.0,1.0,534.600000000001,534.583411
1638517253.00974,1.5356280375524496,203483.0,132508.0,1.0,534.7000000000011,534.6981985
