time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638557718.8542776,4.9,4.9,0,tth,0,-4.9,59.77614238179001,59.77239670795882,0,kth,0,230.9167456738312,72199.0,9.0,7716.0,0.0,21088.0,0.1
1638557719.8870945,5.0,5.0,0,tth,0,-5.0,59.81814238179001,59.82239670795883,0,kth,0,230.8667456738312,72200.0,10.0,7274.0,0.0,21072.0,0.1
1638557720.8606322,5.1000000000000005,5.1,0,tth,0,-5.1,59.87714238179001,59.87239670795881,0,kth,0,230.8167456738312,72199.0,9.0,6831.0,0.0,21094.0,0.1
1638557721.9537897,5.2,5.2,0,tth,0,-5.2,59.918142381790005,59.922396707958825,0,kth,0,230.7667456738312,72200.0,10.0,6020.0,0.0,21066.0,0.1
1638557724.475868,5.3,5.300000000000001,0,tth,0,-5.300000000000001,59.97814238179001,59.97239670795881,0,kth,0,230.7167456738312,72201.0,10.0,5201.0,0.0,21040.0,0.1
1638557725.73611,5.4,5.4,0,tth,0,-5.4,60.01814238179003,60.02239670795882,0,kth,0,230.6667456738312,72201.0,11.0,4453.0,0.0,21081.0,0.1
1638557727.4058254,5.5,5.5,0,tth,0,-5.5,60.077142381790026,60.07239670795883,0,kth,0,230.6167456738312,72201.0,10.0,3779.0,0.0,21067.0,0.1
1638557728.6502576,5.6000000000000005,5.6,0,tth,0,-5.6,60.11814238179002,60.12239670795881,0,kth,0,230.5667456738312,72201.0,10.0,3135.0,0.0,21057.0,0.1
1638557729.658095,5.7,5.7,0,tth,0,-5.7,60.17914238179003,60.172396707958825,0,kth,0,230.5167456738312,72202.0,10.0,2699.0,0.0,21054.0,0.1
1638557730.965841,5.8,5.800000000000001,0,tth,0,-5.800000000000001,60.21814238179002,60.22239670795881,0,kth,0,230.4667456738312,72201.0,9.0,2147.0,0.0,21062.0,0.1
1638557731.9235287,5.9,5.9,0,tth,0,-5.9,60.26814238179003,60.27239670795882,0,kth,0,230.4167456738312,72201.0,10.0,1771.0,0.0,21060.0,0.1
1638557732.9564505,6.0,6.0,0,tth,0,-6.0,60.319142381790016,60.32239670795883,0,kth,0,230.3667456738312,72201.0,9.0,1474.0,0.0,21071.0,0.1
1638557733.9532583,6.1000000000000005,6.1000000000000005,0,tth,0,-6.1000000000000005,60.37714238179001,60.37239670795881,0,kth,0,230.3167456738312,72200.0,10.0,1369.0,0.0,21060.0,0.1
1638557734.916378,6.2,6.2,0,tth,0,-6.2,60.41914238179001,60.422396707958825,0,kth,0,230.2667456738312,72199.0,9.0,1103.0,0.0,21073.0,0.1
1638557737.2210658,6.3,6.3,0,tth,0,-6.3,60.47714238179,60.47239670795881,0,kth,0,230.2167456738312,72199.0,10.0,1083.0,0.0,21036.0,0.1
1638557738.560265,6.4,6.4,0,tth,0,-6.4,60.51814238179003,60.52239670795882,0,kth,0,230.1667456738312,72198.0,10.0,925.0,0.0,21057.0,0.1
1638557739.5069466,6.5,6.5,0,tth,0,-6.5,60.56814238179001,60.57239670795883,0,kth,0,230.1167456738312,72198.0,11.0,909.0,0.0,21044.0,0.1
1638557740.4625468,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005,60.61814238179002,60.62239670795881,0,kth,0,230.0667456738312,72196.0,9.0,895.0,0.0,21059.0,0.1
1638557741.4596617,6.7,6.7,0,tth,0,-6.7,60.66914238179001,60.672396707958825,0,kth,0,230.0167456738312,72196.0,10.0,936.0,0.0,21060.0,0.1
1638557742.401406,6.8,6.800000000000001,0,tth,0,-6.800000000000001,60.72614238179003,60.72239670795881,0,kth,0,229.9667456738312,72195.0,9.0,988.0,0.0,21025.0,0.1
1638557743.3403692,6.9,6.9,0,tth,0,-6.9,60.77014238179001,60.77239670795882,0,kth,0,229.9167456738312,72195.0,10.0,959.0,0.0,21083.0,0.1
1638557745.8654678,7.0,7.0,0,tth,0,-7.0,60.827142381790026,60.82239670795883,0,kth,0,229.8667456738312,72194.0,10.0,987.0,0.0,21053.0,0.1
1638557747.2772024,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005,60.86814238179002,60.87239670795881,0,kth,0,229.8167456738312,72195.0,10.0,949.0,0.0,21055.0,0.1
1638557748.2338483,7.2,7.2,0,tth,0,-7.2,60.92514238179001,60.922396707958825,0,kth,0,229.7667456738312,72194.0,10.0,967.0,0.0,21043.0,0.1
1638557749.2379508,7.3,7.300000000000001,0,tth,0,-7.300000000000001,60.96814238179002,60.97239670795881,0,kth,0,229.7167456738312,72194.0,10.0,909.0,0.0,21071.0,0.1
1638557750.224549,7.4,7.4,0,tth,0,-7.4,61.025142381790005,61.02239670795882,0,kth,0,229.6667456738312,72194.0,11.0,925.0,0.0,21055.0,0.1
1638557751.187105,7.5,7.5,0,tth,0,-7.5,61.07214238179,61.07239670795883,0,kth,0,229.6167456738312,72193.0,10.0,869.0,0.0,21055.0,0.1
1638557753.4842308,7.6000000000000005,7.6000000000000005,0,tth,0,-7.6000000000000005,61.12714238179001,61.12239670795881,0,kth,0,229.5667456738312,72194.0,11.0,852.0,0.0,21059.0,0.1
1638557754.7558405,7.7,7.7,0,tth,0,-7.7,61.168142381790005,61.172396707958825,0,kth,0,229.5167456738312,72193.0,9.0,788.0,0.0,21016.0,0.1
1638557755.7342005,7.8,7.800000000000001,0,tth,0,-7.800000000000001,61.220142381790026,61.22239670795881,0,kth,0,229.4667456738312,72193.0,11.0,756.0,0.0,21066.0,0.1
1638557756.9023232,7.9,7.9,0,tth,0,-7.9,61.26814238179003,61.27239670795882,0,kth,0,229.4167456738312,72192.0,9.0,707.0,0.0,21059.0,0.1
1638557757.8551514,8.0,8.0,0,tth,0,-8.0,61.321142381790025,61.32239670795883,0,kth,0,229.3667456738312,72193.0,10.0,670.0,0.0,21041.0,0.1
1638557760.0598,8.1,8.100000000000001,0,tth,0,-8.100000000000001,61.37714238179001,61.37239670795881,0,kth,0,229.3167456738312,72193.0,11.0,635.0,0.0,21055.0,0.1
1638557761.425889,8.2,8.2,0,tth,0,-8.2,61.41914238179001,61.422396707958825,0,kth,0,229.2667456738312,72193.0,10.0,570.0,0.0,21030.0,0.1
1638557762.3729265,8.3,8.3,0,tth,0,-8.3,61.47114238179,61.47239670795881,0,kth,0,229.2167456738312,72192.0,10.0,530.0,0.0,21046.0,0.1
1638557763.334337,8.4,8.4,0,tth,0,-8.4,61.521142381790014,61.52239670795882,0,kth,0,229.1667456738312,72193.0,10.0,483.0,0.0,21041.0,0.1
1638557764.305142,8.5,8.5,0,tth,0,-8.5,61.56814238179001,61.57239670795883,0,kth,0,229.1167456738312,72193.0,10.0,438.0,0.0,21078.0,0.1
1638557765.2508242,8.6,8.600000000000001,0,tth,0,-8.600000000000001,61.620142381790004,61.62239670795881,0,kth,0,229.0667456738312,72193.0,10.0,400.0,0.0,21065.0,0.1
1638557767.616185,8.700000000000001,8.7,0,tth,0,-8.7,61.67714238179002,61.672396707958825,0,kth,0,229.0167456738312,72193.0,11.0,372.0,0.0,21028.0,0.1
1638557768.8009655,8.8,8.8,0,tth,0,-8.8,61.71914238179002,61.72239670795881,0,kth,0,228.9667456738312,72192.0,9.0,322.0,0.0,21023.0,0.1
1638557770.5792193,8.9,8.9,0,tth,0,-8.9,61.777142381790014,61.77239670795882,0,kth,0,228.9167456738312,72192.0,10.0,308.0,0.0,21027.0,0.1
