time,D4calc,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638731037.285075,0.08038682891427992,144371.0,20.0,4763.0,0.0,59251.0,0.2,6.6000000000000005,6.6000000000000005,0,tth,0,-6.6000000000000005,60.77814238179002,60.777099602776275,0,kth,0,229.91204277901375,5431.28,5431.277777777777,0,x,0,5431.277777777777
1638731038.7179646,0.06955156874989452,144371.0,19.0,4121.0,0.0,59251.0,0.2,6.7,6.7,0,tth,0,-6.7,60.82614238179002,60.827099602776286,0,kth,0,229.86204277901373,5436.258,5436.305555555556,0,x,0,5436.305555555556
1638731040.1159759,0.06074049084928734,144373.0,20.0,3601.0,0.0,59285.0,0.2,6.8,6.800000000000001,0,tth,0,-6.800000000000001,60.88114238179003,60.8770996027763,0,kth,0,229.81204277901372,5441.321,5441.333333333333,0,x,0,5441.333333333333
1638731041.480491,0.05086718855446079,144373.0,20.0,3015.0,0.0,59272.0,0.2,6.9,6.9,0,tth,0,-6.9,60.92314238179003,60.92709960277631,0,kth,0,229.7620427790137,5446.321,5446.361111111111,0,x,0,5446.361111111111
1638731042.7866762,0.0431299126269271,144372.0,19.0,2557.0,0.0,59286.0,0.2,7.0,7.0,0,tth,0,-7.0,60.97714238179,60.97709960277629,0,kth,0,229.71204277901373,5451.353,5451.388888888889,0,x,0,5451.388888888889
1638731044.137876,0.03677687345918747,144372.0,20.0,2178.0,0.0,59222.0,0.2,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005,61.025142381790005,61.027099602776275,0,kth,0,229.66204277901375,5456.4220000000005,5456.416666666667,0,x,0,5456.416666666667
1638731045.5868204,0.03281592711321073,144372.0,20.0,1945.0,0.0,59270.0,0.2,7.2,7.2,0,tth,0,-7.2,61.07914238179001,61.077099602776286,0,kth,0,229.61204277901373,5461.463,5461.444444444444,0,x,0,5461.444444444444
1638731046.9323053,0.02924885166171305,144372.0,20.0,1732.0,0.0,59216.0,0.2,7.3,7.300000000000001,0,tth,0,-7.300000000000001,61.12314238179002,61.1270996027763,0,kth,0,229.56204277901372,5466.461,5466.472222222223,0,x,0,5466.472222222223
1638731048.2773721,0.027690647239367264,144372.0,20.0,1642.0,0.0,59298.0,0.2,7.4,7.4,0,tth,0,-7.4,61.176142381790015,61.17709960277631,0,kth,0,229.5120427790137,5471.511,5471.5,0,x,0,5471.5
1638731049.7017865,0.02760156566338237,144373.0,20.0,1636.0,0.0,59272.0,0.2,7.5,7.5,0,tth,0,-7.5,61.23014238179002,61.22709960277629,0,kth,0,229.46204277901373,5476.5,5476.527777777777,0,x,0,5476.527777777777
1638731051.054226,0.026854932693769318,144372.0,19.0,1590.0,0.0,59207.0,0.2,7.6000000000000005,7.6000000000000005,0,tth,0,-7.6000000000000005,61.27414238179003,61.277099602776275,0,kth,0,229.41204277901375,5481.5650000000005,5481.555555555556,0,x,0,5481.555555555556
1638731052.415315,0.02682490377473158,144373.0,20.0,1589.0,0.0,59236.0,0.2,7.7,7.7,0,tth,0,-7.7,61.327142381790026,61.327099602776286,0,kth,0,229.36204277901373,5486.5740000000005,5486.583333333333,0,x,0,5486.583333333333
1638731053.801392,0.026122490332821127,144374.0,20.0,1547.0,0.0,59221.0,0.2,7.8,7.800000000000001,0,tth,0,-7.800000000000001,61.37714238179001,61.3770996027763,0,kth,0,229.31204277901372,5491.576,5491.611111111111,0,x,0,5491.611111111111
1638731055.1295881,0.024875873948728342,144373.0,19.0,1473.0,0.0,59214.0,0.2,7.9,7.9,0,tth,0,-7.9,61.42514238179001,61.42709960277631,0,kth,0,229.2620427790137,5496.629,5496.638888888889,0,x,0,5496.638888888889
1638731056.4708042,0.023178807947019868,144373.0,19.0,1372.0,0.0,59192.0,0.2,8.0,8.0,0,tth,0,-8.0,61.47914238179001,61.47709960277629,0,kth,0,229.21204277901373,5501.61,5501.666666666667,0,x,0,5501.666666666667
1638731057.828469,0.0208526647883522,144374.0,20.0,1236.0,0.0,59273.0,0.2,8.1,8.100000000000001,0,tth,0,-8.100000000000001,61.52414238179003,61.527099602776275,0,kth,0,229.16204277901375,5506.696,5506.694444444444,0,x,0,5506.694444444444
1638731059.1826959,0.018379309762319038,144242.0,19.0,1088.0,0.0,59197.0,0.2,8.2,8.2,0,tth,0,-8.2,61.577142381790026,61.577099602776286,0,kth,0,229.11204277901373,5511.731,5511.722222222223,0,x,0,5511.722222222223
1638731060.627698,0.016004461645062616,144341.0,20.0,947.0,0.0,59171.0,0.2,8.3,8.3,0,tth,0,-8.3,61.63014238179002,61.6270996027763,0,kth,0,229.06204277901372,5516.733,5516.75,0,x,0,5516.75
1638731061.9677525,0.01376386942056643,143891.0,19.0,815.0,0.0,59213.0,0.2,8.4,8.4,0,tth,0,-8.4,61.672142381790025,61.67709960277631,0,kth,0,229.0120427790137,5521.775000000001,5521.777777777777,0,x,0,5521.777777777777
1638731063.3443606,0.012347972972972973,143542.0,20.0,731.0,0.0,59200.0,0.2,8.5,8.5,0,tth,0,-8.5,61.73014238179002,61.72709960277629,0,kth,0,228.96204277901373,5526.773,5526.805555555556,0,x,0,5526.805555555556
1638731064.9492972,0.011020028733203752,141946.0,19.0,652.0,0.0,59165.0,0.2,8.6,8.600000000000001,0,tth,0,-8.600000000000001,61.775142381790005,61.777099602776275,0,kth,0,228.91204277901375,5531.8330000000005,5531.833333333333,0,x,0,5531.833333333333
1638731066.3026748,0.010523470887316092,143494.0,20.0,623.0,0.0,59201.0,0.2,8.700000000000001,8.7,0,tth,0,-8.7,61.825142381790016,61.827099602776286,0,kth,0,228.86204277901373,5536.8330000000005,5536.861111111111,0,x,0,5536.861111111111
1638731067.6339147,0.010068758130184312,141841.0,21.0,596.0,0.0,59193.0,0.2,8.8,8.8,0,tth,0,-8.8,61.87414238179002,61.8770996027763,0,kth,0,228.81204277901372,5541.845,5541.888888888889,0,x,0,5541.888888888889
