time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638738967.5023654,-1377.535,-1377.5,0,x,0,-1377.5,0.01853366039792859,69.72814238179001,69.72709960277629,0,kth,0,220.96204277901373,24.5,24.5,0,tth,0,-24.5,17412.0,10.0,204.0,0.0,11007.0,0.1
1638738968.7925596,-1382.551,-1382.516129032258,0,x,0,-1382.516129032258,0.01816695431010991,69.77214238179002,69.77709960277627,0,kth,0,220.91204277901375,24.6,24.6,0,tth,0,-24.6,17456.0,9.0,200.0,0.0,11009.0,0.1
1638738969.968996,-1387.451,-1387.532258064516,0,x,0,-1387.532258064516,0.01834029417105502,69.82814238179,69.82709960277629,0,kth,0,220.86204277901373,24.7,24.700000000000003,0,tth,0,-24.700000000000003,17405.0,10.0,202.0,0.0,11014.0,0.1
1638738971.2329001,-1392.453,-1392.5483870967741,0,x,0,-1392.5483870967741,0.01769349423827239,69.87314238179002,69.8770996027763,0,kth,0,220.81204277901372,24.8,24.8,0,tth,0,-24.8,17289.0,9.0,195.0,0.0,11021.0,0.1
1638738972.4234471,-1397.56,-1397.5645161290322,0,x,0,-1397.5645161290322,0.018077761627906978,69.92814238179002,69.92709960277631,0,kth,0,220.7620427790137,24.900000000000002,24.9,0,tth,0,-24.9,17228.0,10.0,199.0,0.0,11008.0,0.1
1638738973.6538668,-1402.544,-1402.5806451612902,0,x,0,-1402.5806451612902,0.017886326493553657,69.97214238179001,69.97709960277629,0,kth,0,220.71204277901373,25.0,25.0,0,tth,0,-25.0,17276.0,10.0,197.0,0.0,11014.0,0.1
1638738974.8445165,-1407.538,-1407.5967741935483,0,x,0,-1407.5967741935483,0.017690283951737277,70.02914238179002,70.02709960277627,0,kth,0,220.66204277901375,25.1,25.1,0,tth,0,-25.1,17121.0,9.0,195.0,0.0,11023.0,0.1
1638738976.0537817,-1412.63,-1412.6129032258066,0,x,0,-1412.6129032258066,0.017258606594604414,70.07314238179,70.07709960277629,0,kth,0,220.61204277901373,25.2,25.2,0,tth,0,-25.2,17021.0,10.0,190.0,0.0,11009.0,0.1
1638738977.2807903,-1417.597,-1417.6290322580646,0,x,0,-1417.6290322580646,0.016975308641975308,70.12414238179002,70.1270996027763,0,kth,0,220.56204277901372,25.3,25.3,0,tth,0,-25.3,16951.0,10.0,187.0,0.0,11016.0,0.1
1638738978.5335548,-1422.661,-1422.6451612903227,0,x,0,-1422.6451612903227,0.01671056216510762,70.18114238179001,70.17709960277631,0,kth,0,220.5120427790137,25.400000000000002,25.400000000000002,0,tth,0,-25.400000000000002,16907.0,10.0,184.0,0.0,11011.0,0.1
