time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638577212.902231,1.2059462168030732,70.16914238179001,70.1723967079588,0,kth,0,220.51674567383122,4313.0,10.0,21660.0,0.0,17961.0,0.1,25.7,25.7,0,tth,0,-25.7
1638577213.5487652,1.178412380316188,70.21814238179002,70.22239670795881,0,kth,0,220.4667456738312,4261.0,10.0,21169.0,0.0,17964.0,0.1,25.8,25.8,0,tth,0,-25.8
1638577214.180908,1.1679189625424389,70.26814238179003,70.27239670795882,0,kth,0,220.4167456738312,4187.0,10.0,20984.0,0.0,17967.0,0.1,25.900000000000002,25.9,0,tth,0,-25.9
1638577215.0753295,1.1403918949009129,70.31914238179002,70.32239670795883,0,kth,0,220.3667456738312,4200.0,9.0,20486.0,0.0,17964.0,0.1,26.0,26.0,0,tth,0,-26.0
1638577215.770979,1.121471914490898,70.36914238179003,70.37239670795881,0,kth,0,220.3167456738312,4247.0,10.0,20145.0,0.0,17963.0,0.1,26.1,26.1,0,tth,0,-26.1
1638577216.4150183,1.1121438112199467,70.42514238179001,70.4223967079588,0,kth,0,220.26674567383122,4266.0,10.0,19983.0,0.0,17968.0,0.1,26.2,26.2,0,tth,0,-26.2
1638577217.0530303,1.0756302521008403,70.47514238179002,70.47239670795881,0,kth,0,220.2167456738312,4173.0,10.0,19328.0,0.0,17969.0,0.1,26.3,26.3,0,tth,0,-26.3
1638577217.718142,1.0571969064708173,70.52614238179001,70.52239670795882,0,kth,0,220.1667456738312,4126.0,10.0,19001.0,0.0,17973.0,0.1,26.400000000000002,26.4,0,tth,0,-26.4
1638577218.3678412,1.0250626566416041,70.57414238179001,70.57239670795883,0,kth,0,220.1167456738312,4181.0,9.0,18405.0,0.0,17955.0,0.1,26.5,26.5,0,tth,0,-26.5
1638577219.2284143,0.9929283367670806,70.62614238179,70.62239670795881,0,kth,0,220.0667456738312,4154.0,10.0,17832.0,0.0,17959.0,0.1,26.6,26.6,0,tth,0,-26.6
1638577219.872574,0.9661432230760664,70.67214238179002,70.6723967079588,0,kth,0,220.01674567383122,4234.0,10.0,17350.0,0.0,17958.0,0.1,26.7,26.7,0,tth,0,-26.7
1638577220.528945,0.921532643754866,70.72914238179001,70.72239670795881,0,kth,0,219.9667456738312,4118.0,9.0,16571.0,0.0,17982.0,0.1,26.8,26.8,0,tth,0,-26.8
1638577221.6830425,0.8805189020655866,70.76814238179003,70.77239670795882,0,kth,0,219.9167456738312,4200.0,10.0,15815.0,0.0,17961.0,0.1,26.900000000000002,26.9,0,tth,0,-26.9
1638577222.4633915,0.8693618443033745,70.82014238179002,70.82239670795883,0,kth,0,219.8667456738312,4072.0,10.0,15612.0,0.0,17958.0,0.1,27.0,27.0,0,tth,0,-27.0
1638577223.8437505,0.8849986084052324,70.87614238179,70.87239670795881,0,kth,0,219.8167456738312,4099.0,10.0,15899.0,0.0,17965.0,0.1,27.1,27.1,0,tth,0,-27.1
1638577224.8856003,0.8523486197684773,70.92014238179001,70.9223967079588,0,kth,0,219.76674567383122,4083.0,9.0,15315.0,0.0,17968.0,0.1,27.2,27.2,0,tth,0,-27.2
1638577225.5775747,0.816379934302099,70.97314238179001,70.97239670795881,0,kth,0,219.7167456738312,4165.0,10.0,14663.0,0.0,17961.0,0.1,27.3,27.3,0,tth,0,-27.3
1638577226.220334,0.8283868812294671,71.02014238179001,71.02239670795882,0,kth,0,219.6667456738312,4043.0,10.0,14877.0,0.0,17959.0,0.1,27.400000000000002,27.4,0,tth,0,-27.4
1638577227.145804,0.790467175232474,71.06914238179002,71.07239670795883,0,kth,0,219.6167456738312,4071.0,9.0,14196.0,0.0,17959.0,0.1,27.5,27.5,0,tth,0,-27.5
1638577227.808509,0.7934431704330401,71.11914238179003,71.12239670795881,0,kth,0,219.5667456738312,3972.0,10.0,14255.0,0.0,17966.0,0.1,27.6,27.6,0,tth,0,-27.6
1638577228.4473064,0.7928746654772525,71.17214238179002,71.1723967079588,0,kth,0,219.51674567383122,4097.0,10.0,14221.0,0.0,17936.0,0.1,27.7,27.7,0,tth,0,-27.7
1638577229.0765798,0.7766401424517277,71.22014238179003,71.22239670795881,0,kth,0,219.4667456738312,4049.0,10.0,13957.0,0.0,17971.0,0.1,27.8,27.8,0,tth,0,-27.8
